Groupe n°,bounding_box
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
0.0,"POLYGON ((12.1808 -5.4554, 12.1915 -5.4554, 12.1915 -5.3982, 12.1808 -5.3982, 12.1808 -5.4554))"
1.0,"POLYGON ((12.1335 -15.192, 12.1372 -15.192, 12.1372 -15.1265, 12.1335 -15.1265, 12.1335 -15.192))"
Port isolé,POLYGON EMPTY
0.0,"POLYGON ((12.1808 -5.4554, 12.1915 -5.4554, 12.1915 -5.3982, 12.1808 -5.3982, 12.1808 -5.4554))"
Port isolé,POLYGON EMPTY
1.0,"POLYGON ((12.1335 -15.192, 12.1372 -15.192, 12.1372 -15.1265, 12.1335 -15.1265, 12.1335 -15.192))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
2.0,"POLYGON ((-63.095 18.0096, -63.0511 18.0096, -63.0511 18.1992, -63.095 18.1992, -63.095 18.0096))"
2.0,"POLYGON ((-63.095 18.0096, -63.0511 18.0096, -63.0511 18.1992, -63.095 18.1992, -63.095 18.0096))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
3.0,"POLYGON ((-61.7774 17.0133, -61.7713 17.0133, -61.7713 17.0202, -61.7774 17.0202, -61.7774 17.0133))"
3.0,"POLYGON ((-61.7774 17.0133, -61.7713 17.0133, -61.7713 17.0202, -61.7774 17.0202, -61.7774 17.0133))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
4.0,"POLYGON ((-62.3071 -38.7953, -62.2694 -38.7953, -62.2694 -38.7859, -62.3071 -38.7859, -62.3071 -38.7953))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
4.0,"POLYGON ((-62.3071 -38.7953, -62.2694 -38.7953, -62.2694 -38.7859, -62.3071 -38.7859, -62.3071 -38.7953))"
5.0,"POLYGON ((-62.0983 -38.9329, -62.0574 -38.9329, -62.0574 -38.9007, -62.0983 -38.9007, -62.0983 -38.9329))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
5.0,"POLYGON ((-62.0983 -38.9329, -62.0574 -38.9329, -62.0574 -38.9007, -62.0983 -38.9007, -62.0983 -38.9329))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
6.0,"POLYGON ((-70.0447 12.4281, -69.9166 12.4281, -69.9166 12.5177, -70.0447 12.5177, -70.0447 12.4281))"
6.0,"POLYGON ((-70.0447 12.4281, -69.9166 12.4281, -69.9166 12.5177, -70.0447 12.5177, -70.0447 12.4281))"
6.0,"POLYGON ((-70.0447 12.4281, -69.9166 12.4281, -69.9166 12.5177, -70.0447 12.5177, -70.0447 12.4281))"
6.0,"POLYGON ((-70.0447 12.4281, -69.9166 12.4281, -69.9166 12.5177, -70.0447 12.5177, -70.0447 12.4281))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
7.0,"POLYGON ((150.9063 -34.46, 150.9136 -34.46, 150.9136 -34.4185, 150.9063 -34.4185, 150.9063 -34.46))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
8.0,"POLYGON ((146.3833 -38.7106, 146.4645 -38.7106, 146.4645 -38.7021, 146.3833 -38.7021, 146.3833 -38.7106))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
9.0,"POLYGON ((145.2298 -38.4464, 145.2392 -38.4464, 145.2392 -38.2962, 145.2298 -38.2962, 145.2298 -38.4464))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
10.0,"POLYGON ((116.6881 -20.6369, 116.7384 -20.6369, 116.7384 -20.6156, 116.6881 -20.6156, 116.6881 -20.6369))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
11.0,"POLYGON ((144.3969 -38.129, 144.4357 -38.129, 144.4357 -38.1256, 144.3969 -38.1256, 144.3969 -38.129))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
12.0,"POLYGON ((135.8721 -34.7559, 135.8889 -34.7559, 135.8889 -34.707, 135.8721 -34.707, 135.8721 -34.7559))"
Port isolé,POLYGON EMPTY
7.0,"POLYGON ((150.9063 -34.46, 150.9136 -34.46, 150.9136 -34.4185, 150.9063 -34.4185, 150.9063 -34.46))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
13.0,"POLYGON ((151.2058 -33.9975, 151.2079 -33.9975, 151.2079 -33.9803, 151.2058 -33.9803, 151.2058 -33.9975))"
Port isolé,POLYGON EMPTY
14.0,"POLYGON ((146.8533 -41.1657, 146.9263 -41.1657, 146.9263 -41.1408, 146.8533 -41.1408, 146.8533 -41.1657))"
15.0,"POLYGON ((137.7551 -35.0848, 137.7802 -35.0848, 137.7802 -34.9609, 137.7551 -34.9609, 137.7551 -35.0848))"
15.0,"POLYGON ((137.7551 -35.0848, 137.7802 -35.0848, 137.7802 -34.9609, 137.7551 -34.9609, 137.7551 -35.0848))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
14.0,"POLYGON ((146.8533 -41.1657, 146.9263 -41.1657, 146.9263 -41.1408, 146.8533 -41.1408, 146.8533 -41.1657))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
16.0,"POLYGON ((115.6501 -33.3127, 115.6974 -33.3127, 115.6974 -33.2815, 115.6501 -33.2815, 115.6501 -33.3127))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
16.0,"POLYGON ((115.6501 -33.3127, 115.6974 -33.3127, 115.6974 -33.2815, 115.6501 -33.2815, 115.6501 -33.3127))"
Port isolé,POLYGON EMPTY
12.0,"POLYGON ((135.8721 -34.7559, 135.8889 -34.7559, 135.8889 -34.707, 135.8721 -34.707, 135.8721 -34.7559))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
17.0,"POLYGON ((148.7166 -20.2913, 148.7869 -20.2913, 148.7869 -20.2699, 148.7166 -20.2699, 148.7166 -20.2913))"
Port isolé,POLYGON EMPTY
15.0,"POLYGON ((137.7551 -35.0848, 137.7802 -35.0848, 137.7802 -34.9609, 137.7551 -34.9609, 137.7551 -35.0848))"
Port isolé,POLYGON EMPTY
13.0,"POLYGON ((151.2058 -33.9975, 151.2079 -33.9975, 151.2079 -33.9803, 151.2058 -33.9803, 151.2058 -33.9975))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
8.0,"POLYGON ((146.3833 -38.7106, 146.4645 -38.7106, 146.4645 -38.7021, 146.3833 -38.7021, 146.3833 -38.7106))"
11.0,"POLYGON ((144.3969 -38.129, 144.4357 -38.129, 144.4357 -38.1256, 144.3969 -38.1256, 144.3969 -38.129))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
18.0,"POLYGON ((147.3313 -42.8859, 147.3429 -42.8859, 147.3429 -42.8445, 147.3313 -42.8445, 147.3313 -42.8859))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
10.0,"POLYGON ((116.6881 -20.6369, 116.7384 -20.6369, 116.7384 -20.6156, 116.6881 -20.6156, 116.6881 -20.6369))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
9.0,"POLYGON ((145.2298 -38.4464, 145.2392 -38.4464, 145.2392 -38.2962, 145.2298 -38.2962, 145.2298 -38.4464))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
18.0,"POLYGON ((147.3313 -42.8859, 147.3429 -42.8859, 147.3429 -42.8445, 147.3313 -42.8445, 147.3313 -42.8859))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
9.0,"POLYGON ((145.2298 -38.4464, 145.2392 -38.4464, 145.2392 -38.2962, 145.2298 -38.2962, 145.2298 -38.4464))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
17.0,"POLYGON ((148.7166 -20.2913, 148.7869 -20.2913, 148.7869 -20.2699, 148.7166 -20.2699, 148.7166 -20.2913))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
19.0,"POLYGON ((50.5344 26.2374, 50.654 26.2374, 50.654 26.3006, 50.5344 26.3006, 50.5344 26.2374))"
19.0,"POLYGON ((50.5344 26.2374, 50.654 26.2374, 50.654 26.3006, 50.5344 26.3006, 50.5344 26.2374))"
20.0,"POLYGON ((50.614 26.1601, 50.7 26.1601, 50.7 26.1959, 50.614 26.1959, 50.614 26.1601))"
20.0,"POLYGON ((50.614 26.1601, 50.7 26.1601, 50.7 26.1959, 50.614 26.1959, 50.614 26.1601))"
20.0,"POLYGON ((50.614 26.1601, 50.7 26.1601, 50.7 26.1959, 50.614 26.1959, 50.614 26.1601))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
21.0,"POLYGON ((3.8043 51.2068, 3.8388 51.2068, 3.8388 51.3226, 3.8043 51.3226, 3.8043 51.2068))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
22.0,"POLYGON ((4.2836 51.125, 4.333 51.125, 4.333 51.2247, 4.2836 51.2247, 4.2836 51.125))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
22.0,"POLYGON ((4.2836 51.125, 4.333 51.125, 4.333 51.2247, 4.2836 51.2247, 4.2836 51.125))"
22.0,"POLYGON ((4.2836 51.125, 4.333 51.125, 4.333 51.2247, 4.2836 51.2247, 4.2836 51.125))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
22.0,"POLYGON ((4.2836 51.125, 4.333 51.125, 4.333 51.2247, 4.2836 51.2247, 4.2836 51.125))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
23.0,"POLYGON ((-64.8234 32.2863, -64.7984 32.2863, -64.7984 32.3349, -64.8234 32.3349, -64.8234 32.2863))"
Port isolé,POLYGON EMPTY
23.0,"POLYGON ((-64.8234 32.2863, -64.7984 32.2863, -64.7984 32.3349, -64.8234 32.3349, -64.8234 32.2863))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
24.0,"POLYGON ((-43.2027 -22.8838, -43.1408 -22.8838, -43.1408 -22.8199, -43.2027 -22.8199, -43.2027 -22.8838))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
25.0,"POLYGON ((-48.6586 -26.9039, -48.65 -26.9039, -48.65 -26.9, -48.6586 -26.9, -48.6586 -26.9039))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
26.0,"POLYGON ((-40.3316 -20.3192, -40.246 -20.3192, -40.246 -20.2967, -40.3316 -20.2967, -40.3316 -20.3192))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
27.0,"POLYGON ((-37.0447 -10.9181, -37.0408 -10.9181, -37.0408 -10.9078, -37.0447 -10.9078, -37.0447 -10.9181))"
28.0,"POLYGON ((-44.38 -2.58, -44.3723 -2.58, -44.3723 -2.56, -44.38 -2.56, -44.38 -2.58))"
29.0,"POLYGON ((-48.6411 -26.2293, -48.5985 -26.2293, -48.5985 -26.1881, -48.6411 -26.1881, -48.6411 -26.2293))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
26.0,"POLYGON ((-40.3316 -20.3192, -40.246 -20.3192, -40.246 -20.2967, -40.3316 -20.2967, -40.3316 -20.3192))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
25.0,"POLYGON ((-48.6586 -26.9039, -48.65 -26.9039, -48.65 -26.9, -48.6586 -26.9, -48.6586 -26.9039))"
28.0,"POLYGON ((-44.38 -2.58, -44.3723 -2.58, -44.3723 -2.56, -44.38 -2.56, -44.38 -2.58))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
24.0,"POLYGON ((-43.2027 -22.8838, -43.1408 -22.8838, -43.1408 -22.8199, -43.2027 -22.8199, -43.2027 -22.8838))"
Port isolé,POLYGON EMPTY
30.0,"POLYGON ((-45.3921 -23.8109, -45.355 -23.8109, -45.355 -23.7634, -45.3921 -23.7634, -45.3921 -23.8109))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
27.0,"POLYGON ((-37.0447 -10.9181, -37.0408 -10.9181, -37.0408 -10.9078, -37.0447 -10.9078, -37.0447 -10.9181))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
31.0,"POLYGON ((-44.0446 -23.0183, -44.0368 -23.0183, -44.0368 -22.961, -44.0446 -22.961, -44.0446 -23.0183))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
30.0,"POLYGON ((-45.3921 -23.8109, -45.355 -23.8109, -45.355 -23.7634, -45.3921 -23.7634, -45.3921 -23.8109))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
31.0,"POLYGON ((-44.0446 -23.0183, -44.0368 -23.0183, -44.0368 -22.961, -44.0446 -22.961, -44.0446 -23.0183))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
