Groupe n°,bounding_box
Port isolé,POLYGON EMPTY
176.0,"POLYGON ((2.1181 50.9974, 2.1543 50.9974, 2.1543 51.0455, 2.1181 51.0455, 2.1181 50.9974))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
181.0,"POLYGON ((6.9922 43.5329, 7.1363 43.5329, 7.1363 43.5915, 6.9922 43.5915, 6.9922 43.5329))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
184.0,"POLYGON ((-1.239 46.1509, -1.1644 46.1509, -1.1644 46.1529, -1.239 46.1529, -1.239 46.1509))"
Port isolé,POLYGON EMPTY
189.0,"POLYGON ((-0.9535 45.9385, -0.9071 45.9385, -0.9071 45.9462, -0.9535 45.9462, -0.9535 45.9385))"
190.0,"POLYGON ((5.8866 43.084, 5.9205 43.084, 5.9205 43.1116, 5.8866 43.1116, 5.8866 43.084))"
191.0,"POLYGON ((-2.5461 47.3444, -2.5141 47.3444, -2.5141 47.3834, -2.5461 47.3834, -2.5461 47.3444))"
191.0,"POLYGON ((-2.5461 47.3444, -2.5141 47.3444, -2.5141 47.3834, -2.5461 47.3834, -2.5461 47.3444))"
175.0,"POLYGON ((-2.0784 47.291, -2.0261 47.291, -2.0261 47.3025, -2.0784 47.3025, -2.0784 47.291))"
188.0,"POLYGON ((0.7577 49.4781, 0.8037 49.4781, 0.8037 49.5193, 0.7577 49.5193, 0.7577 49.4781))"
185.0,"POLYGON ((1.6318 50.1843, 1.6446 50.1843, 1.6446 50.2153, 1.6318 50.2153, 1.6318 50.1843))"
Port isolé,POLYGON EMPTY
192.0,"POLYGON ((-2.1908 47.2732, -2.1391 47.2732, -2.1391 47.2973, -2.1908 47.2973, -2.1908 47.2732))"
190.0,"POLYGON ((5.8866 43.084, 5.9205 43.084, 5.9205 43.1116, 5.8866 43.1116, 5.8866 43.084))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
182.0,"POLYGON ((6.5918 43.2713, 6.6282 43.2713, 6.6282 43.2735, 6.5918 43.2735, 6.5918 43.2713))"
183.0,"POLYGON ((-1.565 43.4849, -1.5266 43.4849, -1.5266 43.5293, -1.565 43.5293, -1.565 43.4849))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
192.0,"POLYGON ((-2.1908 47.2732, -2.1391 47.2732, -2.1391 47.2973, -2.1908 47.2973, -2.1908 47.2732))"
173.0,"POLYGON ((7.2907 43.6835, 7.3389 43.6835, 7.3389 43.7065, 7.2907 43.7065, 7.2907 43.6835))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
178.0,"POLYGON ((4.9195 43.3925, 5.0153 43.3925, 5.0153 43.4025, 4.9195 43.4025, 4.9195 43.3925))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
189.0,"POLYGON ((-0.9535 45.9385, -0.9071 45.9385, -0.9071 45.9462, -0.9535 45.9462, -0.9535 45.9385))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
190.0,"POLYGON ((5.8866 43.084, 5.9205 43.084, 5.9205 43.1116, 5.8866 43.1116, 5.8866 43.084))"
177.0,"POLYGON ((-0.3421 49.1871, -0.2424 49.1871, -0.2424 49.2906, -0.3421 49.2906, -0.3421 49.1871))"
181.0,"POLYGON ((6.9922 43.5329, 7.1363 43.5329, 7.1363 43.5915, 6.9922 43.5915, 6.9922 43.5329))"
178.0,"POLYGON ((4.9195 43.3925, 5.0153 43.3925, 5.0153 43.4025, 4.9195 43.4025, 4.9195 43.3925))"
187.0,"POLYGON ((0.0741 49.365, 0.0801 49.365, 0.0801 49.366, 0.0741 49.366, 0.0741 49.365))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
193.0,"POLYGON ((9.4576 0.2842, 9.498 0.2842, 9.498 0.3646, 9.4576 0.3646, 9.4576 0.2842))"
193.0,"POLYGON ((9.4576 0.2842, 9.498 0.2842, 9.498 0.3646, 9.4576 0.3646, 9.4576 0.2842))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
194.0,"POLYGON ((9.936 54.5821, 10.0279 54.5821, 10.0279 54.6613, 9.936 54.6613, 9.936 54.5821))"
Port isolé,POLYGON EMPTY
195.0,"POLYGON ((10.1634 54.3549, 10.2737 54.3549, 10.2737 54.4337, 10.1634 54.4337, 10.1634 54.3549))"
196.0,"POLYGON ((13.5909 54.4039, 13.6354 54.4039, 13.6354 54.5069, 13.5909 54.5069, 13.5909 54.4039))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
197.0,"POLYGON ((8.5159 53.5096, 8.5796 53.5096, 8.5796 53.5497, 8.5159 53.5497, 8.5159 53.5096))"
Port isolé,POLYGON EMPTY
198.0,"POLYGON ((8.4623 53.2302, 8.4913 53.2302, 8.4913 53.3417, 8.4623 53.3417, 8.4623 53.2302))"
Port isolé,POLYGON EMPTY
196.0,"POLYGON ((13.5909 54.4039, 13.6354 54.4039, 13.6354 54.5069, 13.5909 54.5069, 13.5909 54.4039))"
199.0,"POLYGON ((13.2329 54.6221, 13.2821 54.6221, 13.2821 54.6253, 13.2329 54.6253, 13.2329 54.6221))"
197.0,"POLYGON ((8.5159 53.5096, 8.5796 53.5096, 8.5796 53.5497, 8.5159 53.5497, 8.5159 53.5096))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
200.0,"POLYGON ((7.8107 53.7122, 7.8681 53.7122, 7.8681 53.7729, 7.8107 53.7729, 7.8107 53.7122))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
201.0,"POLYGON ((9.4814 53.6034, 9.5312 53.6034, 9.5312 53.653, 9.4814 53.653, 9.4814 53.6034))"
202.0,"POLYGON ((7.6963 53.7044, 7.7062 53.7044, 7.7062 53.7625, 7.6963 53.7625, 7.6963 53.7044))"
Port isolé,POLYGON EMPTY
203.0,"POLYGON ((8.5572 53.1686, 8.6153 53.1686, 8.6153 53.1805, 8.5572 53.1805, 8.5572 53.1686))"
204.0,"POLYGON ((6.0899 51.8356, 6.1732 51.8356, 6.1732 51.8558, 6.0899 51.8558, 6.0899 51.8356))"
205.0,"POLYGON ((13.5747 54.134, 13.6104 54.134, 13.6104 54.1412, 13.5747 54.1412, 13.5747 54.134))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
201.0,"POLYGON ((9.4814 53.6034, 9.5312 53.6034, 9.5312 53.653, 9.4814 53.653, 9.4814 53.6034))"
201.0,"POLYGON ((9.4814 53.6034, 9.5312 53.6034, 9.5312 53.653, 9.4814 53.653, 9.4814 53.6034))"
Port isolé,POLYGON EMPTY
194.0,"POLYGON ((9.936 54.5821, 10.0279 54.5821, 10.0279 54.6613, 9.936 54.6613, 9.936 54.5821))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
206.0,"POLYGON ((10.9898 54.3503, 11.0732 54.3503, 11.0732 54.3748, 10.9898 54.3748, 10.9898 54.3503))"
207.0,"POLYGON ((7.4882 53.6803, 7.5683 53.6803, 7.5683 53.7215, 7.4882 53.7215, 7.4882 53.6803))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
195.0,"POLYGON ((10.1634 54.3549, 10.2737 54.3549, 10.2737 54.4337, 10.1634 54.4337, 10.1634 54.3549))"
208.0,"POLYGON ((9.1412 53.8968, 9.1941 53.8968, 9.1941 53.9176, 9.1412 53.9176, 9.1412 53.8968))"
Port isolé,POLYGON EMPTY
195.0,"POLYGON ((10.1634 54.3549, 10.2737 54.3549, 10.2737 54.4337, 10.1634 54.4337, 10.1634 54.3549))"
Port isolé,POLYGON EMPTY
209.0,"POLYGON ((13.7657 54.0473, 13.7836 54.0473, 13.7836 54.1337, 13.7657 54.1337, 13.7657 54.0473))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
198.0,"POLYGON ((8.4623 53.2302, 8.4913 53.2302, 8.4913 53.3417, 8.4623 53.3417, 8.4623 53.2302))"
206.0,"POLYGON ((10.9898 54.3503, 11.0732 54.3503, 11.0732 54.3748, 10.9898 54.3748, 10.9898 54.3503))"
Port isolé,POLYGON EMPTY
202.0,"POLYGON ((7.6963 53.7044, 7.7062 53.7044, 7.7062 53.7625, 7.6963 53.7625, 7.6963 53.7044))"
Port isolé,POLYGON EMPTY
195.0,"POLYGON ((10.1634 54.3549, 10.2737 54.3549, 10.2737 54.4337, 10.1634 54.4337, 10.1634 54.3549))"
Port isolé,POLYGON EMPTY
199.0,"POLYGON ((13.2329 54.6221, 13.2821 54.6221, 13.2821 54.6253, 13.2329 54.6253, 13.2329 54.6221))"
Port isolé,POLYGON EMPTY
195.0,"POLYGON ((10.1634 54.3549, 10.2737 54.3549, 10.2737 54.4337, 10.1634 54.4337, 10.1634 54.3549))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
198.0,"POLYGON ((8.4623 53.2302, 8.4913 53.2302, 8.4913 53.3417, 8.4623 53.3417, 8.4623 53.2302))"
210.0,"POLYGON ((14.0649 53.7435, 14.0987 53.7435, 14.0987 53.7488, 14.0649 53.7488, 14.0649 53.7435))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
203.0,"POLYGON ((8.5572 53.1686, 8.6153 53.1686, 8.6153 53.1805, 8.5572 53.1805, 8.5572 53.1686))"
211.0,"POLYGON ((9.6792 54.31, 9.7149 54.31, 9.7149 54.329, 9.6792 54.329, 9.6792 54.31))"
212.0,"POLYGON ((8.0284 53.641, 8.0847 53.641, 8.0847 53.6845, 8.0284 53.6845, 8.0284 53.641))"
Port isolé,POLYGON EMPTY
209.0,"POLYGON ((13.7657 54.0473, 13.7836 54.0473, 13.7836 54.1337, 13.7657 54.1337, 13.7657 54.0473))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
194.0,"POLYGON ((9.936 54.5821, 10.0279 54.5821, 10.0279 54.6613, 9.936 54.6613, 9.936 54.5821))"
Port isolé,POLYGON EMPTY
196.0,"POLYGON ((13.5909 54.4039, 13.6354 54.4039, 13.6354 54.5069, 13.5909 54.5069, 13.5909 54.4039))"
Port isolé,POLYGON EMPTY
210.0,"POLYGON ((14.0649 53.7435, 14.0987 53.7435, 14.0987 53.7488, 14.0649 53.7488, 14.0649 53.7435))"
207.0,"POLYGON ((7.4882 53.6803, 7.5683 53.6803, 7.5683 53.7215, 7.4882 53.7215, 7.4882 53.6803))"
212.0,"POLYGON ((8.0284 53.641, 8.0847 53.641, 8.0847 53.6845, 8.0284 53.6845, 8.0284 53.641))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
213.0,"POLYGON ((6.7031 51.217, 6.7426 51.217, 6.7426 51.2188, 6.7031 51.2188, 6.7031 51.217))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
214.0,"POLYGON ((7.1564 53.6324, 7.1611 53.6324, 7.1611 53.6992, 7.1564 53.6992, 7.1564 53.6324))"
208.0,"POLYGON ((9.1412 53.8968, 9.1941 53.8968, 9.1941 53.9176, 9.1412 53.9176, 9.1412 53.8968))"
207.0,"POLYGON ((7.4882 53.6803, 7.5683 53.6803, 7.5683 53.7215, 7.4882 53.7215, 7.4882 53.6803))"
200.0,"POLYGON ((7.8107 53.7122, 7.8681 53.7122, 7.8681 53.7729, 7.8107 53.7729, 7.8107 53.7122))"
Port isolé,POLYGON EMPTY
205.0,"POLYGON ((13.5747 54.134, 13.6104 54.134, 13.6104 54.1412, 13.5747 54.1412, 13.5747 54.134))"
Port isolé,POLYGON EMPTY
213.0,"POLYGON ((6.7031 51.217, 6.7426 51.217, 6.7426 51.2188, 6.7031 51.2188, 6.7031 51.217))"
214.0,"POLYGON ((7.1564 53.6324, 7.1611 53.6324, 7.1611 53.6992, 7.1564 53.6992, 7.1564 53.6324))"
211.0,"POLYGON ((9.6792 54.31, 9.7149 54.31, 9.7149 54.329, 9.6792 54.329, 9.6792 54.31))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
215.0,"POLYGON ((-1.7321 4.8993, -1.6949 4.8993, -1.6949 4.9365, -1.7321 4.9365, -1.7321 4.8993))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
215.0,"POLYGON ((-1.7321 4.8993, -1.6949 4.8993, -1.6949 4.9365, -1.7321 4.9365, -1.7321 4.8993))"
216.0,"POLYGON ((-5.4206 36.1399, -5.3548 36.1399, -5.3548 36.1758, -5.4206 36.1758, -5.4206 36.1399))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
217.0,"POLYGON ((24.6798 40.7833, 24.7 40.7833, 24.7 40.8625, 24.6798 40.8625, 24.6798 40.7833))"
218.0,"POLYGON ((23.5871 38.4535, 23.6315 38.4535, 23.6315 38.5092, 23.5871 38.5092, 23.5871 38.4535))"
Port isolé,POLYGON EMPTY
219.0,"POLYGON ((25.0883 37.0398, 25.1484 37.0398, 25.1484 37.0965, 25.0883 37.0965, 25.0883 37.0398))"
220.0,"POLYGON ((22.9368 37.9127, 23.083 37.9127, 23.083 37.9433, 22.9368 37.9433, 22.9368 37.9127))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
221.0,"POLYGON ((23.1463 37.2696, 23.1562 37.2696, 23.1562 37.3194, 23.1463 37.3194, 23.1463 37.2696))"
222.0,"POLYGON ((22.8496 39.1696, 22.8831 39.1696, 22.8831 39.1739, 22.8496 39.1739, 22.8496 39.1696))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
223.0,"POLYGON ((21.7288 38.2504, 21.8436 38.2504, 21.8436 38.4, 21.7288 38.4, 21.7288 38.2504))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
224.0,"POLYGON ((25.4696 36.8628, 25.5103 36.8628, 25.5103 36.8709, 25.4696 36.8709, 25.4696 36.8628))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
223.0,"POLYGON ((21.7288 38.2504, 21.8436 38.2504, 21.8436 38.4, 21.7288 38.4, 21.7288 38.2504))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
225.0,"POLYGON ((23.5487 38.567, 23.5972 38.567, 23.5972 38.5816, 23.5487 38.5816, 23.5487 38.567))"
Port isolé,POLYGON EMPTY
226.0,"POLYGON ((26.95 37.6833, 26.9623 37.6833, 26.9623 37.7588, 26.95 37.7588, 26.95 37.6833))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
220.0,"POLYGON ((22.9368 37.9127, 23.083 37.9127, 23.083 37.9433, 22.9368 37.9433, 22.9368 37.9127))"
227.0,"POLYGON ((24.0158 35.493, 24.0746 35.493, 24.0746 35.5198, 24.0158 35.5198, 24.0158 35.493))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
217.0,"POLYGON ((24.6798 40.7833, 24.7 40.7833, 24.7 40.8625, 24.6798 40.8625, 24.6798 40.7833))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
220.0,"POLYGON ((22.9368 37.9127, 23.083 37.9127, 23.083 37.9433, 22.9368 37.9433, 22.9368 37.9127))"
228.0,"POLYGON ((23.3809 37.9145, 23.7052 37.9145, 23.7052 38.0397, 23.3809 38.0397, 23.3809 37.9145))"
Port isolé,POLYGON EMPTY
229.0,"POLYGON ((22.588 38.8876, 22.6172 38.8876, 22.6172 38.9052, 22.588 38.9052, 22.588 38.8876))"
Port isolé,POLYGON EMPTY
228.0,"POLYGON ((23.3809 37.9145, 23.7052 37.9145, 23.7052 38.0397, 23.3809 38.0397, 23.3809 37.9145))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
228.0,"POLYGON ((23.3809 37.9145, 23.7052 37.9145, 23.7052 38.0397, 23.3809 38.0397, 23.3809 37.9145))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
228.0,"POLYGON ((23.3809 37.9145, 23.7052 37.9145, 23.7052 38.0397, 23.3809 38.0397, 23.3809 37.9145))"
228.0,"POLYGON ((23.3809 37.9145, 23.7052 37.9145, 23.7052 38.0397, 23.3809 38.0397, 23.3809 37.9145))"
228.0,"POLYGON ((23.3809 37.9145, 23.7052 37.9145, 23.7052 38.0397, 23.3809 38.0397, 23.3809 37.9145))"
228.0,"POLYGON ((23.3809 37.9145, 23.7052 37.9145, 23.7052 38.0397, 23.3809 38.0397, 23.3809 37.9145))"
Port isolé,POLYGON EMPTY
223.0,"POLYGON ((21.7288 38.2504, 21.8436 38.2504, 21.8436 38.4, 21.7288 38.4, 21.7288 38.2504))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
230.0,"POLYGON ((23.7903 38.3227, 23.795 38.3227, 23.795 38.3823, 23.7903 38.3823, 23.7903 38.3227))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
228.0,"POLYGON ((23.3809 37.9145, 23.7052 37.9145, 23.7052 38.0397, 23.3809 38.0397, 23.3809 37.9145))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
231.0,"POLYGON ((20.4429 38.1892, 20.4911 38.1892, 20.4911 38.2038, 20.4429 38.2038, 20.4429 38.1892))"
Port isolé,POLYGON EMPTY
218.0,"POLYGON ((23.5871 38.4535, 23.6315 38.4535, 23.6315 38.5092, 23.5871 38.5092, 23.5871 38.4535))"
225.0,"POLYGON ((23.5487 38.567, 23.5972 38.567, 23.5972 38.5816, 23.5487 38.5816, 23.5487 38.567))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
231.0,"POLYGON ((20.4429 38.1892, 20.4911 38.1892, 20.4911 38.2038, 20.4429 38.2038, 20.4429 38.1892))"
228.0,"POLYGON ((23.3809 37.9145, 23.7052 37.9145, 23.7052 38.0397, 23.3809 38.0397, 23.3809 37.9145))"
Port isolé,POLYGON EMPTY
226.0,"POLYGON ((26.95 37.6833, 26.9623 37.6833, 26.9623 37.7588, 26.95 37.7588, 26.95 37.6833))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
230.0,"POLYGON ((23.7903 38.3227, 23.795 38.3227, 23.795 38.3823, 23.7903 38.3823, 23.7903 38.3227))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
228.0,"POLYGON ((23.3809 37.9145, 23.7052 37.9145, 23.7052 38.0397, 23.3809 38.0397, 23.3809 37.9145))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
232.0,"POLYGON ((27.1236 36.615, 27.1423 36.615, 27.1423 36.6609, 27.1236 36.6609, 27.1236 36.615))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
233.0,"POLYGON ((20.7105 38.6628, 20.7622 38.6628, 20.7622 38.7032, 20.7105 38.7032, 20.7105 38.6628))"
Port isolé,POLYGON EMPTY
228.0,"POLYGON ((23.3809 37.9145, 23.7052 37.9145, 23.7052 38.0397, 23.3809 38.0397, 23.3809 37.9145))"
Port isolé,POLYGON EMPTY
232.0,"POLYGON ((27.1236 36.615, 27.1423 36.615, 27.1423 36.6609, 27.1236 36.6609, 27.1236 36.615))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
223.0,"POLYGON ((21.7288 38.2504, 21.8436 38.2504, 21.8436 38.4, 21.7288 38.4, 21.7288 38.2504))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
222.0,"POLYGON ((22.8496 39.1696, 22.8831 39.1696, 22.8831 39.1739, 22.8496 39.1739, 22.8496 39.1696))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
234.0,"POLYGON ((22.9495 39.3454, 22.9899 39.3454, 22.9899 39.3477, 22.9495 39.3477, 22.9495 39.3454))"
235.0,"POLYGON ((25.2646 37.3972, 25.3247 37.3972, 25.3247 37.4622, 25.2646 37.4622, 25.2646 37.3972))"
Port isolé,POLYGON EMPTY
220.0,"POLYGON ((22.9368 37.9127, 23.083 37.9127, 23.083 37.9433, 22.9368 37.9433, 22.9368 37.9127))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
224.0,"POLYGON ((25.4696 36.8628, 25.5103 36.8628, 25.5103 36.8709, 25.4696 36.8709, 25.4696 36.8628))"
229.0,"POLYGON ((22.588 38.8876, 22.6172 38.8876, 22.6172 38.9052, 22.588 38.9052, 22.588 38.8876))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
235.0,"POLYGON ((25.2646 37.3972, 25.3247 37.3972, 25.3247 37.4622, 25.2646 37.4622, 25.2646 37.3972))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
227.0,"POLYGON ((24.0158 35.493, 24.0746 35.493, 24.0746 35.5198, 24.0158 35.5198, 24.0158 35.493))"
Port isolé,POLYGON EMPTY
223.0,"POLYGON ((21.7288 38.2504, 21.8436 38.2504, 21.8436 38.4, 21.7288 38.4, 21.7288 38.2504))"
234.0,"POLYGON ((22.9495 39.3454, 22.9899 39.3454, 22.9899 39.3477, 22.9495 39.3477, 22.9495 39.3454))"
236.0,"POLYGON ((22.6356 38.3609, 22.6838 38.3609, 22.6838 38.3734, 22.6356 38.3734, 22.6356 38.3609))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
236.0,"POLYGON ((22.6356 38.3609, 22.6838 38.3609, 22.6838 38.3734, 22.6356 38.3734, 22.6356 38.3609))"
Port isolé,POLYGON EMPTY
221.0,"POLYGON ((23.1463 37.2696, 23.1562 37.2696, 23.1562 37.3194, 23.1463 37.3194, 23.1463 37.2696))"
219.0,"POLYGON ((25.0883 37.0398, 25.1484 37.0398, 25.1484 37.0965, 25.0883 37.0965, 25.0883 37.0398))"
233.0,"POLYGON ((20.7105 38.6628, 20.7622 38.6628, 20.7622 38.7032, 20.7105 38.7032, 20.7105 38.6628))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
237.0,"POLYGON ((-48.1717 61.2104, -48.1077 61.2104, -48.1077 61.233, -48.1717 61.233, -48.1717 61.2104))"
Port isolé,POLYGON EMPTY
237.0,"POLYGON ((-48.1717 61.2104, -48.1077 61.2104, -48.1077 61.233, -48.1717 61.233, -48.1717 61.2104))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
238.0,"POLYGON ((-61.5895 16.23, -61.53 16.23, -61.53 16.271, -61.5895 16.271, -61.5895 16.23))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
239.0,"POLYGON ((-61.3346 15.8811, -61.3187 15.8811, -61.3187 15.9457, -61.3346 15.9457, -61.3346 15.8811))"
238.0,"POLYGON ((-61.5895 16.23, -61.53 16.23, -61.53 16.271, -61.5895 16.271, -61.5895 16.23))"
Port isolé,POLYGON EMPTY
239.0,"POLYGON ((-61.3346 15.8811, -61.3187 15.8811, -61.3187 15.9457, -61.3346 15.9457, -61.3346 15.8811))"
Port isolé,POLYGON EMPTY
240.0,"POLYGON ((-90.8232 13.9119, -90.7821 13.9119, -90.7821 13.9198, -90.8232 13.9198, -90.8232 13.9119))"
Port isolé,POLYGON EMPTY
241.0,"POLYGON ((-88.6173 15.697, -88.6103 15.697, -88.6103 15.7369, -88.6173 15.7369, -88.6173 15.697))"
241.0,"POLYGON ((-88.6173 15.697, -88.6103 15.697, -88.6103 15.7369, -88.6173 15.7369, -88.6173 15.697))"
240.0,"POLYGON ((-90.8232 13.9119, -90.7821 13.9119, -90.7821 13.9198, -90.8232 13.9198, -90.8232 13.9119))"
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
Port isolé,POLYGON EMPTY
242.0,"POLYGON ((-54.0533 5.4959, -54.0356 5.4959, -54.0356 5.5008, -54.0533 5.5008, -54.0533 5.4959))"
