timestamp,ship_name,IMO,Time of latest position,Latitude,Longitude
2023-01-05 10:57,AFRIKA,9175834,2023-01-05 08:51 UTC,60.08667,-3.491793
2023-01-05 10:58,AFRIKA,9175834,2023-01-05 08:51 UTC,60.08667,-3.491793
2023-01-05 11:10,AFRIKA,9175834,2023-01-05 08:51 UTC,60.08667,-3.491793
2023-01-05 11:19,AFRIKA,9175834,2023-01-05 10:11 UTC,60.02838,-3.606985
2023-01-05 11:27,AFRIKA,9175834,2023-01-05 10:11 UTC,60.02838,-3.606985
2023-01-05 11:28,AFRIKA,9175834,2023-01-05 10:11 UTC,60.02838,-3.606985
2023-01-05 15:10,AFRIKA,9175834,2023-01-05 14:02 UTC,59.93316,-3.680895
2023-01-05 15:14,AFRIKA,9175834,2023-01-05 14:02 UTC,59.93316,-3.680895
2023-01-05 15:15,AFRIKA,9175834,2023-01-05 14:02 UTC,59.93316,-3.680895
2023-01-05 15:17,AFRIKA,9175834,2023-01-05 14:13 UTC,59.92587,-3.694877
2023-01-05 15:19,AFRIKA,9175834,2023-01-05 14:13 UTC,59.92587,-3.694877
2023-01-05 15:25,AFRIKA,9175834,2023-01-05 14:22 UTC,59.91932,-3.717372
2023-01-05 15:35,AFRIKA,9175834,2023-01-05 14:34 UTC,59.91223,-3.741305
2023-01-05 15:35,ALIDA,8224418,2023-01-05 14:33 UTC,52.09917,4.266
2023-01-05 15:35,ANNELIES ILENA,9204556,2022-12-13 21:03 UTC,55.6499,21.1601
2023-01-05 15:35,ANNIE HILLINA,8028412,2023-01-05 05:22 UTC,52.90345,3.823778
2023-01-05 15:35,CAROLIEN,0,2022-11-21 18:32 UTC,52.97392,5.620461
2023-01-05 15:38,AFRIKA,9175834,2023-01-05 14:34 UTC,59.91223,-3.741305
2023-01-05 15:38,ALIDA,8224418,2023-01-05 14:33 UTC,52.09917,4.266
2023-01-05 15:38,ANNELIES ILENA,9204556,2022-12-13 21:03 UTC,55.6499,21.1601
2023-01-05 15:38,ANNIE HILLINA,8028412,2023-01-05 05:22 UTC,52.90345,3.823778
2023-01-05 15:38,CAROLIEN,0,2022-11-21 18:32 UTC,52.97392,5.620461
2023-01-05 15:38,CORNELIS VROLIJK,8707537,2022-12-24 00:44 UTC,-22.82785,14.44539
2023-01-05 15:38,DIRK DIRK,8209171,2023-01-05 13:53 UTC,59.83536,-3.211722
2023-01-05 15:38,FRANK BONEFAAS,9074951,2023-01-05 13:01 UTC,55.97903,-1.24767
2023-01-05 15:38,GERDA MARIA,8716928,2023-01-05 14:36 UTC,53.50511,8.58491
2023-01-05 15:38,HELEN MARY,9126364,2023-01-05 13:43 UTC,60.01141,-4.030396
2023-01-05 15:38,TSARITSA,8707446,2022-12-20 00:45 UTC,51.14084,144.7002
2023-01-05 15:38,MAARTJE THEADORA,9182801,2023-01-04 18:35 UTC,60.13107,-3.283243
2023-01-05 15:38,MARGIRIS,8301187,2023-01-05 10:06 UTC,57.22775,-0.9279267
2023-01-05 15:38,MARK,9690688,2023-01-05 14:38 UTC,53.50696,8.584356
2023-01-05 15:38,ALINA,8918318,2022-09-23 07:32 UTC,52.45699,4.578387
2023-01-05 15:38,NIDA,8707745,2023-01-05 14:40 UTC,53.51924,8.577158
2023-01-05 15:38,PRINS BERNHARD,8224406,2023-01-05 14:41 UTC,52.4634,4.662902
2023-01-05 15:38,SCOMBRUS,9828936,2023-01-05 14:40 UTC,52.09986,4.266644
2023-01-05 15:38,WILLEM VAN DER ZWAN,9187306,2023-01-05 14:42 UTC,51.46187,3.699647
2023-01-05 15:38,WIRON5.H1100,9249556,2023-01-05 14:43 UTC,50.64486,0.4991467
2023-01-05 15:38,WIRON6H2200,9249568,2023-01-05 14:43 UTC,50.63614,0.483555
2023-01-05 15:38,ZEELAND,8901913,2023-01-05 14:42 UTC,59.84293,-3.265733
2023-01-05 16:16,AFRIKA,9175834,2023-01-05 15:08 UTC,59.89331,-3.807997
2023-01-05 16:16,ALIDA,8224418,2023-01-05 15:16 UTC,52.09917,4.266
2023-01-05 16:16,ANNELIES ILENA,9204556,2022-12-13 21:03 UTC,55.6499,21.1601
2023-01-05 17:03,AFRIKA,9175834,2023-01-05 15:08 UTC,59.89331,-3.807997
2023-01-05 17:03,ALIDA,8224418,2023-01-05 16:01 UTC,52.09917,4.266
2023-01-05 17:03,ANNELIES ILENA,9204556,2022-12-13 21:03 UTC,55.6499,21.1601
2023-01-05 17:07,AFRIKA,9175834,2023-01-05 15:08 UTC,59.89331,-3.807997
2023-01-05 17:07,ALIDA,8224418,2023-01-05 16:05 UTC,52.09917,4.266
2023-01-05 17:07,ANNELIES ILENA,9204556,2022-12-13 21:03 UTC,55.6499,21.1601
2023-01-05 17:07,ANNIE HILLINA,8028412,2023-01-05 05:22 UTC,52.90345,3.823778
2023-01-05 17:07,CAROLIEN,0,2022-11-21 18:32 UTC,52.97392,5.620461
2023-01-05 17:07,CORNELIS VROLIJK,8707537,2022-12-24 00:44 UTC,-22.82785,14.44539
2023-01-05 17:07,DIRK DIRK,8209171,2023-01-05 16:04 UTC,59.95938,-3.634165
2023-01-05 17:07,FRANK BONEFAAS,9074951,2023-01-05 16:08 UTC,56.82451,-1.220873
2023-01-05 17:07,GERDA MARIA,8716928,2023-01-05 16:06 UTC,53.5051,8.584911
2023-01-05 17:07,HELEN MARY,9126364,2023-01-05 15:52 UTC,60.02727,-3.95306
2023-01-05 17:07,TSARITSA,8707446,2022-12-20 00:45 UTC,51.14084,144.7002
2023-01-05 17:07,MAARTJE THEADORA,9182801,2023-01-04 18:35 UTC,60.13107,-3.283243
2023-01-05 17:07,MARGIRIS,8301187,2023-01-05 10:06 UTC,57.22775,-0.9279267
2023-01-05 17:07,MARK,9690688,2023-01-05 16:11 UTC,53.50704,8.584335
2023-01-05 17:07,ALINA,8918318,2022-09-23 07:32 UTC,52.45699,4.578387
2023-01-05 17:21,AFRIKA,9175834,2023-01-05 15:08 UTC,59.89331,-3.807997
2023-01-05 17:21,ALIDA,8224418,2023-01-05 16:19 UTC,52.09917,4.266
2023-01-05 17:21,ANNELIES ILENA,9204556,2022-12-13 21:03 UTC,55.6499,21.1601
2023-01-05 17:21,ANNIE HILLINA,8028412,2023-01-05 05:22 UTC,52.90345,3.823778
2023-01-05 17:21,CAROLIEN,0,2022-11-21 18:32 UTC,52.97392,5.620461
2023-01-05 17:21,CORNELIS VROLIJK,8707537,2022-12-24 00:44 UTC,-22.82785,14.44539
2023-01-05 17:21,DIRK DIRK,8209171,2023-01-05 16:21 UTC,59.97932,-3.613955
2023-01-05 17:21,FRANK BONEFAAS,9074951,2023-01-05 16:21 UTC,56.88923,-1.22009
2023-01-05 17:21,GERDA MARIA,8716928,2023-01-05 16:20 UTC,53.50511,8.584917
2023-01-05 17:21,HELEN MARY,9126364,2023-01-05 15:52 UTC,60.02727,-3.95306
2023-01-05 17:21,TSARITSA,8707446,2022-12-20 00:45 UTC,51.14084,144.7002
2023-01-05 17:21,MAARTJE THEADORA,9182801,2023-01-04 18:35 UTC,60.13107,-3.283243
2023-01-05 18:17,AFRIKA,9175834,2023-01-05 15:08 UTC,59.89331,-3.807997
2023-01-05 18:17,ALIDA,8224418,2023-01-05 17:13 UTC,52.09917,4.266
2023-01-05 18:17,ANNELIES ILENA,9204556,2022-12-13 21:03 UTC,55.6499,21.1601
2023-01-05 18:17,ANNIE HILLINA,8028412,2023-01-05 05:22 UTC,52.90345,3.823778
2023-01-05 18:17,CAROLIEN,0,2022-11-21 18:32 UTC,52.97392,5.620461
2023-01-05 18:17,CORNELIS VROLIJK,8707537,2022-12-24 00:44 UTC,-22.82785,14.44539
