country_iso3;cfr;IMO;registration_number;external_marking;ship_name;ircs;mmsi;loa;type;mt_activated;comment
PRT;PRT000016185;8606343;PD-600-C;PD-600-C;PEPE CUMBRERA;CUTC;204834000;29.25;>25m;true;
PRT;PRT000018934;8906406;H-183-C;H-183-C;PONTA DOS ARCOS;CUXW;204835000;28.1;>25m;true;
PRT;PRT000016196;8719255;H-171-C;H-171-C;PONTA DO ESPARTEL;CUXF;204836000;25.74;>25m;true;
PRT;PRT000018657;1719946;H-174-C;H-174-C;GENOVA;CUXM;204838000;28.1;>25m;true;
PRT;PRT000021006;9193408;VV-06-C;VV-06-C;CABO DA PRAIA;CUSS7;204851000;25.4;>25m;true;
PRT;PRT000021013;9193410;PTPDL-113925-C;PTPDL-113925-C;LAJES DO PICO;CUSE;204856000;29.46;>25m;true;
PRT;PRT000021011;9193355;PTPDL-120354-C;PTPDL-120354-C;MAL AMANHADO;CUSP;204858000;29.46;>25m;true;
PRT;PRT000016290;6606404;PD-464-N;PD-464-N;COSTA DE SAO JORGE;CUTN;204862000;37.7;>25m;true;
BEL;30471992.00 BEL;8871778;47;Z.47;DE MARIE LOUISE;OPBU;205059000;38.31;>25m;true;
BEL;34832021.00 BEL;9896787;483;Z.483;JASMINE;OPBR;205077000;38;>25m;true;
BEL;30192021.00 BEL;9898668;19;Z.19;BRIGITTE;OPAS;205096000;34.5;>25m;true;
BEL;30912021.00 BEL;9919503;91;Z.91;FRANSON;OPDM;205127000;37.9;>25m;true;
BEL;30262022.00 BEL;9913315;26;Z.26;AVANTI;OPAZ;205133000;37.9;>25m;true;
BEL;30391982.00 BEL;8333568;38;Z.38;ZUIDERZEE;OPBM;205149000;32.5;>25m;true;
BEL;10291967.00 BEL;8745424;29;O.29;BROODWINNER;OPBC;205150000;27.2;>25m;true;
BEL;GBR000B13502;8410043;59;Z.59;RAQUEL;OPCG;205153000;37.2;>25m;true;
BEL;30671983.00 BEL;8410017;67;Z.67;RUBENS;OPCO;205155000;34.9;>25m;true;
BEL;30981991.00 BEL;9019456;94;Z.94;OP HOOP VAN ZEGEN;OPDP;205160000;33.67;>25m;true;
BEL;31211992.00 BEL;8871766;121;Z.121;DEBORAH;OPEQ;205162000;37.87;>25m;true;
BEL;11541988.00 BEL;8835906;154;O.154;WILMAR;OPFX;205165000;25.94;>25m;true;
BEL;35711989.00 BEL;8817344;571;Z.571;CUSTOS DEUS;OPWO;205192000;38.93;>25m;true;
BEL;30602001.00 BEL;9222077;60;Z.60;BLUE ANGEL;OPCH;205198000;37.83;>25m;true;
BEL;30451996.00 BEL;9141534;45;Z.45;JERKI;OPBS;205227000;37.78;>25m;true;
BEL;12312001.00 BEL;9222089;231;O.231;DEN HOOPE;OPIW;205237000;37.83;>25m;true;
BEL;30351997.00 BEL;9097068;35;Z.35;ORA ET LABORA;OPBI;205240000;38.22;>25m;true;
BEL;13161987.00 BEL;8615514;316;O.316;AEGIR;OPMD;205241000;32.32;>25m;true;
BEL;34832001.00 BEL;8972986;48;Z.48;DE MARIA ANTONIA;OPTE;205243000;37.81;>25m;true;
BEL;35102000.00 BEL;9215969;510;Z.510;DENNIS;OPUF;205246000;37.96;>25m;true;
BEL;30392021.00 BEL;9899624;39;Z.39;SOPHIE;OPEV;205248000;37.95;>25m;true;
BEL;30531981.00 BEL;7916959;53;Z.53;VAN EYCK;OPCA;205259000;34.29;>25m;true;
BEL;10331976.00 BEL;7936791;33;O.33;MARBI;OPBG;205275000;34.8;>25m;true;
BEL;10511983.00 BEL;8308642;51;O.51;STORMVOGEL;OPBY;205277000;33;>25m;true;
BEL;30982021.00 BEL;9902110;98;Z.98;WINDROOS;OPDV;205279000;37.95;>25m;true;
BEL;32962000.00 BEL;9242807;296;Z.296;MOOIE MEID;OPLJ;205303000;38;>25m;true;
BEL;30182000.00 BEL;9222065;18;Z.18;SOETKIN;OPAR;205306000;37.79;>25m;true;
BEL;35261999.00 BEL;9202871;526;Z.526;VAYA CON DIOS;OPUV;205316000;36.11;>25m;true;
BEL;NLD199201765;9044580;333;Z.333;AVATAR;OPMU;205321000;37.45;>25m;true;
BEL;35761999.00 BEL;8976451;576;Z.576;MARE NOSTRUM;OPWT;205322000;37.89;>25m;true;
BEL;12791969.00 BEL;8740826;279;Z.279;RAMBLERS;OPKS;205325000;33.18;>25m;true;
BEL;30971994.00 BEL;9109794;548;Z.548;FLAMINGO;OPVR;205333000;37.72;>25m;true;
BEL;NLD199001509;9019406;182;Z.182;HENNIE;OPGZ;205718000;28.42;>25m;true;
BEL;35961988.00 BEL;8812760;115;Z.115;ANTJE DE VRIES;OPEK;205752000;37.84;>25m;true;
BEL;DNK000040851;9599509;300;Z.300;SOLA GRATIA;OPLN;205775000;27.49;>25m;true;
BGR;BGR002010219;8966248;219;BS219;RK 26;LZTN;207420000;26;>25m;true;
BGR;BGR002000102;8966250;290;BS290;RK 27;LZTO;207421000;26;>25m;true;
BGR;BGR002010221;8966262;221;BS221;RK 28;LZUU;207422000;26;>25m;true;
BGR;BGR002010255;8837760;255;BS255;RK 37;LZUV;207424000;26;>25m;true;
BGR;BGR002030258;8837796;258;BS258;RK 40;LZTP;207425000;26;>25m;true;
BGR;BGR002010259;8837801;259;BS259;RK 41;LZTQ;207426000;25;>25m;true;
BGR;BGR002010280;8534801;280;BS280;KIRIL 45;LZUS;207427000;25;>25m;true;
BGR;BGR002010288;8656594;288;BS288;MEDUZA 3;LZUT;207428000;25;>25m;true;
BGR;BGR002010222;8744119;222;BS222;RK 29;LZH2267;207822670;26;>25m;true;
BGR;BGR001010422;8533431;VN 422;VN 422;HARASIMOV MLADSHI;LZH2732;207827320;27.2;>25m;true;
BGR;BGR001010440;8532669;440;VN 440;IRINA;LZH2928;207829280;25;>25m;true;
CYP;CYP000000786;7634745;374217;374217;SANTA MARIA;C4SK;209232000;25.4;>25m;true;
CYP;CYP000000797;3558383;394422;394422;SANTA ELENA;P3UK;209499000;27.8;>25m;true;
CYP;CYP000000792;8688157;711092;711092;RANIA;P3WS8;210380000;27.2;>25m;true;
CYP;CYP000000789;8861955;8861955;8861955;QUEEN IRENE;P3XH8;210460000;26.5;>25m;true;
CYP;CYP000000781;8691843;710154;710154;GIA SOU KAIKI MOU AI NIKOLA;P3VR5;210732000;25.47;>25m;true;
DEU;DEU002140300;9284099;HOO70;HOO70;ROYAL FRYSK;DCZY;211101000;45.54;>25m;true;MMSI from ORBIS
DEU;DEU002120300;9048902;NC101;NC101;BALDVIN;DFIT;211102000;80.35;>25m;true;
DEU;DEU001650300;8429082;NOR204;NOR204;ANDREA;DCWH;211103000;34.91;>25m;true;
DEU;DEU002090300;8933576;NOR214;NOR214;ANNA;DQUQ;211105000;35.15;>25m;true;MMSI from ORBIS
DEU;DEU501000110;9316426;WYK2;WYK2;JOHANNA LEINTJE;DJNE;211115000;43.42;>25m;true;
DEU;DEU114000300;8716928;ROS786;ROS786;GERDA MARIA;DFLM;211214200;81.32;>25m;true;
DEU;DEU000130300;7420156;NC327;NC327;ORTEGAL DOS;DFQF;211232850;31.02;>25m;true;
DEU;DEU000020400;7315521;NG2;NG2;RHEIDERLAND;DEOG;211234500;26.29;>25m;true;
DEU;DEU000300601;9126364;ROS785;ROS785;HELEN MARY;DQLI;211238930;116.7;>25m;true;
DEU;GBR000B12558;9044774;SC25;SC25;EVERT SNOEK;DIRE;211245890;32.9;>25m;true;
DEU;DEU000110400;8509052;NC309;NC309;SEEWOLF;DFAC;211267780;30.34;>25m;true;
DEU;NLD197901087;7904803;NG1;NG1;JURIE VAN DEN BERG;DCDW;211270480;36.28;>25m;true;
DEU;DEU500960110;9179098;WYK3;WYK3;TRIJNTJE;DJEI;211282410;43.38;>25m;true;
DEU;DEU000310500;7424580;HF570;HF570;ORTEGAL TRES;DFQG;211285880;32.36;>25m;true;
DEU;DEU000050500;8705450;NC308;NC308;J.VON COELLN;DHMC;211298640;40.26;>25m;true;
DEU;DEU000300500;7360930;HF564;HF564;PESORSA DOS;DIFC;211313600;27.77;>25m;true;
DEU;NLD199101249;9018608;NG12;NG12;PRINS MAURITS;DQZO;211315540;41.82;>25m;true;
DEU;DEU000040400;5364932;BX757;BX757;PESORSA CUATRO;DEOJ;211315870;31.05;>25m;true;
DEU;DEU300670207;8429094;SAS111;SAS111;CHRISTIN-BETTINA;DNRM;211317720;25.05;>25m;true;
DEU;DEU002260300;9900966;NC336;NC336;KRISTIN;DFIR;211325510;53.55;>25m;true;
DEU;DEU000090400;8104448;NG10;NG10;AQUA FAUNA;DESL;211332630;31.37;>25m;true;
DEU;DEU001340300;8137093;GRE27;GRE27;URSULA;DCRB;211359830;35.06;>25m;true;MMSI from ORBIS
DEU;DEU001980300;9001899;HOO71;HOO71;SIEBENNUS GERJETS;DCYE;211363300;38.65;>25m;true;MMSI from ORBIS
DEU;DEU500700110;8404850;WYK1;WYK1;CORNELIS;DJMW;211364320;35.95;>25m;true;
DEU;DEU500740110;8729901;WYK5;WYK5;CAPELLA;DJJR;211364330;35.85;>25m;true;
DEU;NLD198500737;8421743;SC31;SC31;DR.MAARTEN LUTHER;DIRA;211365280;38.75;>25m;true;
DEU;SWE000009717;9211676;SH4;SH4;ELLEN BACH;DKIH2;211410690;51.72;>25m;true;
DEU;GBR000B12216;9021502;ST27;ST27;Jacob Grietje;DMMO;211411630;40;>25m;true;
DEU;DEU500990110;8981523;WYK9;WYK9;SIMON ALEXANDER;DLXQ;211413470;43.6;>25m;true;
DEU;DEU002190300;9683300;NC322;NC322;HELGOLAND;DFKR;211593750;35.9;>25m;true;
DEU;DEU002230300;9826043;NC333;NC333;Janne-Kristin;DFKB;211789170;35.3;>25m;true;
DEU;DEU002220300;9826055;NC302;NC302;IRIS;DFKA;211789180;35.3;>25m;true;
DEU;DEU405030101;9833046;SC10;SC10;Amrumbank;DJUN;211801150;31.97;>25m;true;
DEU;DEU302470207;9018593;BRA4;BRA4;DESTINY;DMHJ;211824000;28.93;>25m;true;
DEU;NLD198900256;8816132;SC1;SC1;ELISABETH;DKTP2;211872390;39.06;>25m;true;
DEU;NLD199902581;9182801;ROS171;ROS171;Maartje Theadora;DEAN2;218066000;140.8;>25m;true;
DEU;NLD198800081;8807791;GRE115;GRE115;CHARLOTTE;DGEC2;218094000;45.15;>25m;true;MMSI from ORBIS
DEU;IRL000I01420;9295892;NC315;NC315;VICTORIA;DFJD;218162000;37.05;>25m;true;
DEU;DEU500130105;8528917;ST2;ST2;BOREAS;DJBC;218299000;25.27;>25m;true;
DEU;DEU500770110;8826656;WYK8;WYK8;WATTENLAEUFER;DJDB;218342000;42.66;>25m;true;
DEU;NLD198100312;8028412;ROS170;ROS170;ANNIE HILLINA;DEDT2;218359000;86.33;>25m;true;
DEU;DEU000320601;9690688;ROS777;ROS777;MARK;DKAL2;218799000;90.66;>25m;true;
DEU;DEU002200300;9782778;NC100;NC100;CUXHAVEN;DFQH;218830000;81.22;>25m;true;
DNK;DNK000037331;8739231;DNK000037331;HM424;WESTBANK;OXRG;219010989;26.59;>25m;true;
DNK;DNK000042032;9636046;DNK000042032;E349;CATTLEYA;OUTT;219017843;69.9;>25m;true;
DNK;GBR000C19315;9213868;GBR000C19315;RI527;VIBEKE BRAM;OWWA;219019966;34.5;>25m;true;
DNK;DNK000044016;9782388;DNK000044016;HM228;PONDUS;OWBS;219022165;28.3;>25m;true;
DNK;DNK000044115;9160322;DNK000044115;S438;BRISTOL;OUBL;219022326;48.3;>25m;true;MMSI from ORBIS
DNK;DNK000044416;9807786;DNK000044416;HM227;MYGGENES;OXAB;219023236;32.12;>25m;true;
DNK;DNK000044496;9788186;DNK000044496;S486;SAJONI;OWDA;219023313;28.05;>25m;true;
DNK;DNK000044656;9814698;DNK000044656;S226;EMLI PILEGAARD;OUBK;219023738;28.05;>25m;true;
DNK;DNK000044956;9841548;DNK000044956;L349;BIRGITTE;OXQD;219024698;32.2;>25m;true;
DNK;DNK000045339;9867786;DNK000045339;S149;BIRTHE;OXJO;219025535;32.2;>25m;true;
DNK;DNK000045479;9816804;DNK000045479;HM379;LINGBANK;OYJW;219025976;49.95;>25m;true;
DNK;DNK000045460;9826809;DNK000045460;L654;PIA GLANZ;OXQR;219025986;33.25;>25m;true;
DNK;SWE000008319;8741416;SWE000008319;S206;AHLMA-WEST;OYNY;219026170;39.78;>25m;true;
DNK;SWE000010025;9741164;SWE000010025;S464;STELLA NOVA IX;OYQN;219026318;49.84;>25m;true;
DNK;DNK000045841;9897169;DNK000045841;L820;NANNA CECILIE;OYEA;219026675;27.55;>25m;true;
DNK;DNK000045999;9873058;DNK000045999;S107;SKAGERAK;OYHD;219027026;28.05;>25m;true;
DNK;DNK000046162;9878591;DNK000046162;S255;NORTH SEA;OZKX;219028043;32;>25m;true;
DNK;IRL000I13642;9133898;IRL000I13642;L920;TINA JEANETTE;OZII;219028700;50.7;>25m;true;
DNK;DNK000046580;9886835;DNK000046580;L120;LINETTE;OYOU;219028794;28.6;>25m;true;
DNK;DNK000046479;9899337;DNK000046479;HG264;RUTH;OZFX;219029579;89.35;>25m;true;
DNK;DNK000046900;9919759;DNK000046900;S264;ASTRID;OZPO;219030452;91.8;>25m;true;
DNK;DNK000047100;9900239;DNK000047100;HG333;ISAFOLD;OZUV;219030593;87.65;>25m;true;
DNK;DNK000044616;9806859;DNK000044616;S144;THEMIS;OXNP;219058000;63;>25m;true;
DNK;DNK000039610;9545156;DNK000039610;RI427;METTE HELENE;OUNY;219063000;30.76;>25m;true;
DNK;DNK000012028;8704846;DNK000012028;R500;SOPHIA HAMETNER;OUOS;219121000;39.85;>25m;true;
DNK;DNK000014382;8416449;DNK000014382;S576;EAST OCEAN;OWWM;219138000;42.3;>25m;true;
DNK;SWE000009445;8516225;SWE000009445;L421;CADIZ;OXHK;219168000;47.48;>25m;true;MMSI from ORBIS
FIN;DNK000013968;7392309;N/A;FIN-1122-T;LAGUNA;OJ9406;219239000;40.8;>25m;true;
DNK;DNK000028806;9136383;DNK000028806;R38;OCEAN TIGER;OZKA;219257000;60;>25m;true;
DNK;SWE000008077;9212682;SWE000008077;S158;SARON;OWDM;219294000;35.12;>25m;true;
DNK;SWE000007181;8516213;SWE000007181;AS202;NEPTUN;OZGR;219330000;48.85;>25m;true;
DNK;DNK000008512;8522406;DNK000008512;L106;MONSUN;OZEL;219340000;48.55;>25m;true;
DNK;DNK000032067;9202455;DNK000032067;HG365;JUNIOR;OULE;219372000;55.95;>25m;true;
DNK;NLD198800850;8718811;NLD198800850;E78;WILHELMINA;OUSS;219381000;40.15;>25m;true;
DNK;DNK000012801;8416073;DNK000012801;L441;HAMETNER SENIOR;OZNL;219441000;48.8;>25m;true;
DNK;DNK000012289;6612178;DNK000012289;HG410;SIGNET;OZQG;219443000;34.8;>25m;true;
DNK;DNK000011092;7368982;DNK000011092;L229;LYKKE HAMETNER;OYWE;219507000;46.2;>25m;true;
DNK;DNK000030600;8943296;DNK000030600;L56;ANNA-LISE;OZOI;219597000;31.72;>25m;true;
DNK;DNK000004561;8300078;DNK000004561;HM289;CYRANO;OVYL;219633000;27.95;>25m;true;
DNK;DNK000013679;8131130;DNK000013679;L126;BERING SEA;OXYA;219661000;27.75;>25m;true;
DNK;DNK000006184;8416451;DNK000006184;L520;EMMIE NOAH;OWCZ;219689000;41.1;>25m;true;
DNK;DNK000043855;9746097;DNK000043855;HG62;BEINUR;OWAR;219731000;78;>25m;true;
DNK;DNK000007846;8509739;DNK000007846;RI372;AGGERSØE;OWFH;219765000;35.4;>25m;true;
DNK;DNK000006541;8600038;DNK000006541;R218;JUDITH BECHMANN;OWRY;219796000;25.91;>25m;true;
DNK;DNK000032117;9210024;DNK000032117;L757;AALTJE POSTMA;OZXH;219853000;37.76;>25m;true;
DNK;DNK000032132;9239056;DNK000032132;RI468;JULI-ANE;OYVF;219867000;26.75;>25m;true;
DNK;DNK000032153;9233002;DNK000032153;R231;OCEAN LAURA;OZYQ;219921000;30.75;>25m;true;
DNK;DNK000032227;9219769;DNK000032227;HM128;BORKUMRIF;OWRG;219956000;33.75;>25m;true;
DNK;DNK000033403;8996451;DNK000033403;L549;FRIDA AMALIE;OWQD;220151000;29.95;>25m;true;
DNK;DEU302540207;9034080;DEU302540207;L153;MALLE;OUOT;220166000;43.8;>25m;true;
DNK;GBR000C16613;9190585;GBR000C16613;L510;ST.ANTHONY;OXQB;220507000;42.35;>25m;true;
DNK;DNK000037429;8739243;DNK000037429;HM555;KINGFISHER;OVQL;220544000;31.25;>25m;true;
ESP;25960 ESP;8731045;3BI-4-1-03;3BI-4-1-03;ARRIGORRI;EBZL;224000220;32.6;>25m;true;
ESP;7802 ESP;8799786;3BI-2-2730;3BI-2-2730;ZERUKO ERREGIÑA;EHGZ;224000240;33;>25m;true;
ESP;24648 ESP;8733988;3TA-3-1-00;3TA-3-1-00;TIO GEL SEGON;EAXZ;224003100;35.95;>25m;true;
ESP;20312 ESP;8802349;3GI-4-2179;3GI-4-2179;PLAYA DA CATIVA;EHTR;224004000;55.8;>25m;true;
ESP;24561 ESP;9227651;3SS-1-4-99;3SS-1-4-99;PITTAR;EAXC;224004680;28;>25m;true;
ESP;24518 ESP;9208904;3SS-1-5-99;3SS-1-5-99;ITSAS EDER;EAXX;224004720;31;>25m;true;
ESP;22332 ESP;9039901;3SS-3-1-92;3SS-3-1-92;IRIGOYEN BERRIA;EAGS;224004770;35.5;>25m;true;
ESP;10863 ESP;7222164;3SS-2-1868;3SS-2-1868;BETI SAN LUIS;EAMN;224004800;28.5;>25m;true;
ESP;16047 ESP;8810839;3FE-2-2994;3FE-2-2994;XEOS;EHUE;224004950;29.99;>25m;true;
ESP;24592 ESP;9212591;3VI-5-2-00;3VI-5-2-00;PESCABERBES TRES;EAXR;224005190;35;>25m;true;
ESP;23403 ESP;2832500;3CP-3-6-95;3CP-3-6-95;JOANET;EA2308;224005270;25.2;>25m;true;
ESP;24563 ESP;9244477;3BI-4-4-00;3BI-4-4-00;ARRETXU BERRIA;EAWH;224005540;29;>25m;true;
ESP;24580 ESP;9244489;3BI-4-3-00;3BI-4-3-00;ANDREKALA BERRIA;EAYK;224005590;29;>25m;true;
ESP;24548 ESP;9233052;3VI-7-5-00;3VI-7-5-00;TOSCA TERCERO;EA4581;224005790;28;>25m;true;
ESP;24630 ESP;8739736;3SS-1-1-00;3SS-1-1-00;MONTSERRAT BERRIA;EAYQ;224005870;32.5;>25m;true;
ESP;24581 ESP;9223849;3ST-6-1-00;3ST-6-1-00;PEDRIÑABLANCA;EAYR;224006570;28.37;>25m;false ;
ESP;24594 ESP;8791186;3AT-4-1-00;3AT-4-1-00;SERRA AITANA;EA4720;224006930;25;>25m;false ;
ESP;24820 ESP;9217503;3TA-1-1-99;3TA-1-1-99;LA FRAU DOS;EATR;224007230;34.6;>25m;false ;
ESP;25942 ESP;9317626;3HU-3-14-03;3HU-3-14-03;RIODOMAR CUARTO;EAYH;224009000;31.3;>25m;false ;
ESP;23422 ESP;9160633;3GI-6-1-96;3GI-6-1-96;JESUS DE GALIANA;EAHP;224010000;29;>25m;false ;
ESP;24653 ESP;9227663;3SS-1-2-00;3SS-1-2-00;GURE AMUITZ;EASO;224010590;28;>25m;false ;
ESP;24724 ESP;8739528;3GI-6-6-99;3GI-6-6-99;HERMANOS SAN SALVADOR;EAWS;224010730;27.5;>25m;false ;
ESP;22937 ESP;2862000;3BA-1-4-91;3BA-1-4-91;TONI SEGUNDO;EA2924;224010920;25.1;>25m;false ;
ESP;21810 ESP;9005845;3FE-2-3003;3FE-2-3003;MARISCADOR;EGYT;224011260;33.5;>25m;false ;
ESP;24844 ESP;9223966;3VILL-1-3-00;3VILL-1-3-00;POMBO SEIS;EAZV;224011290;25.26;>25m;false ;
ESP;24619 ESP;8739750;3CP-1-2-00;3CP-1-2-00;SANT JOAN B;EA4551;224011550;25.06;>25m;false ;
ESP;24717 ESP;9244532;3BI-2-6-00;3BI-2-6-00;ANDUIZA ANAIAK;EA4906;224011830;27.55;>25m;false ;
ESP;25709 ESP;8741105;3GI-6-1-03;3GI-6-1-03;GALIANA SEGUNDO;ECDJ;224011990;31;>25m;false ;
ESP;24732 ESP;8734839;3ST-4-4-00;3ST-4-4-00;VILABOA UNO;EBRC;224012280;28.5;>25m;false ;
ESP;23586 ESP;8735845;3ST-6-2-97;3ST-6-2-97;NUEVO HERMANOS CORTABITARTE;EA3079;224012660;27;>25m;false ;
ESP;368 ESP;2824694;3TA-3-2674;3TA-3-2674;F.PONS;EA2828;224012840;26;>25m;false ;
ESP;371 ESP;2840818;3TA-3-2675;3TA-3-2675;MARIA FERRE DOS;EA5924;224012860;28;>25m;false ;
ESP;24760 ESP;8959336;3VI-5-13-00;3VI-5-13-00;POMBO TRES;EAMR;224013090;30.7;>25m;false ;
ESP;24893 ESP;8959348;3VI-5-14-00;3VI-5-14-00;POMBO CUATRO;EAYV;224013220;30.7;>25m;false ;
ESP;25182 ESP;8733598;3GC-1-7-01;3GC-1-7-01;GOBER TERCERO;EBWZ;224013270;29;>25m;false ;
ESP;23328 ESP;9144586;3VILL-1-2-96;3VILL-1-2-96;MARPAR SEGUNDO;EANE;224013710;27;>25m;false ;
ESP;24811 ESP;2840387;3TA-1-3-00;3TA-1-3-00;MARGARITA Y ELENA;EA4961;224014890;25;>25m;false ;
ESP;22481 ESP;9052769;3VA-3-2-92;3VA-3-2-92;PAUSEP;EAIM;224015340;25.1;>25m;false ;
ESP;24809 ESP;8959350;3VI-5-16-00;3VI-5-16-00;ECCE HOMO DIVINO;EAOJ;224015550;37.5;>25m;false ;
ESP;24801 ESP;8794281;3CP-2-1-00;3CP-2-1-00;CHORROLL CINC;EA4541;224015590;25.07;>25m;false ;
ESP;25028 ESP;2846472;3TE-1-2-99;3TE-1-2-99;NUEVO BATABANO PRIMERO;EA5102;224015940;25.53;>25m;false ;
ESP;23456 ESP;9154359;3VI-5-2-97;3VI-5-2-97;CELTIC BAY;EACH;224016000;35;>25m;false ;
ESP;22405 ESP;8684591;3CU-1-1-92;3CU-1-1-92;FRANIVAN;EA6754;224016530;27.3;>25m;false ;
ESP;24508 ESP;9221451;3VI-5-1-00;3VI-5-1-00;NUEVO JOSMARU;EAOS;224017000;43.5;>25m;false ;
ESP;23015 ESP;2816207;3ST-4-1-95;3ST-4-1-95;CARABA;EA8286;224017460;25.9;>25m;false ;
ESP;23484 ESP;9166065;3ST-3-2-97;3ST-3-2-97;NUEVO LIBE;EANW;224018260;35.7;>25m;false ;
ESP;23610 ESP;2847397;3CP-2-3-96;3CP-2-3-96;NUEVO PALOMA DIVINA;EA3010;224018390;25;>25m;false ;
ESP;24868 ESP;9233076;3VILL-1-2-01;3VILL-1-2-01;CALI UNO;EBSR;224018440;31;>25m;false ;
ESP;23227 ESP;8733471;3SS-3-2-96;3SS-3-2-96;BERRIZ IRIGOIEN;EAEC;224018460;35.6;>25m;false ;
ESP;24993 ESP;8740008;3AT-5-1-01;3AT-5-1-01;PLAYA ALTEA TERCERO;EA5126;224018530;26.15;>25m;false ;
ESP;24891 ESP;8734803;3CP-3-5-00;3CP-3-5-00;NOVA TIA CINTA;EBRV;224019440;25.08;>25m;false ;
ESP;23467 ESP;9154397;3SS-1-3-96;3SS-1-3-96;LUIS BARRANKO;EANQ;224019470;36;>25m;false ;
ESP;23452 ESP;9154373;3SS-3-1-97;3SS-3-1-97;IRIBAR ZULAIKA;EANS;224019630;36;>25m;false ;
ESP;24441 ESP;8733407;3VI-7-14-99;3VI-7-14-99;SIEMPRE JUAN LUIS;EA3663;224020000;27.3;>25m;false ;
ESP;22616 ESP;8796069;3AM-2-3-93;3AM-2-3-93;GARCIA RODRIGUEZ;EA8363;224020170;25.05;>25m;false ;
ESP;24879 ESP;9233064;3VILL-1-4-00;3VILL-1-4-00;VERA;EAZR;224020340;32.5;>25m;false ;
ESP;23454 ESP;9163374;3FE-2-2-97;3FE-2-2-97;MADRE JOSEFA UNO;EANV;224020890;30;>25m;false ;
