country_iso3;cfr;IMO;registration_number;external_marking;ship_name;ircs;mmsi;loa;type;mt_activated;comment
PRT;PRT000021024;8687012;PTHOR-116852-C;PTHOR-116852-C;PESCA ATUM;CUTA2;204201240;26.6;>25m;true;
PRT;PRT000021038;9205029;PD-561-C;PD-561-C;AGRIAO;CUTZ5;204201360;29.46;>25m;true;
PRT;PRT000021039;9207223;PTHOR-116851-C;PTHOR-116851-C;MESTRE AFONSO;CUTM7;204201560;25.4;>25m;true;
PRT;PRT000024565;8686989;PTPDL-120360-C;PTPDL-120360-C;MESTRE SACADURA;CUWM4;204209570;25;>25m;true;
PRT;PRT000019726;8602610;PE-2191-C;PE-2191-C;MAR PORTUGUÊS;CUHB9;204211000;27.51;>25m;true;
PRT;PRT000001538;8017164;V-1065-C;V-1065-C;VERDEMILHO;CUOZ;204212000;34.5;>25m;true;
PRT;PRT000019419;8880602;V-1104-C;V-1104-C;STELLA MARIS;CUGS7;204218000;29.5;>25m;true;
PRT;PRT000019232;9032513;PTVDP-113664-C;PTVDP-113664-C;MESTRE BOBICHA;CUSP3;204225000;25.36;>25m;true;
PRT;PRT000016157;8610796;PTADH-113639-C;PTADH-113639-C;ÁGUAS SANTAS;CUTG;204226000;27.2;>25m;true;
PRT;PRT000001540;8017176;A-3148-C;A-3148-C;VISTA ALEGRE;CUOU;204228000;28.6;>25m;true;
PRT;PRT000020622;9175389;PTAVE-113976-C;PTAVE-113976-C;NOVOMAR;CUFB5;204229000;28.2;>25m;true;
PRT;PRT000019385;9010187;AN-217-C;AN-217-C;ARTUR E TERESA;CUMD;204232000;32.8;>25m;true;
PRT;PRT000018893;8797221;PTVDC-113684-C;PTVDC-113684-C;JORGE NOVO;CUBJ5;204234000;26.26;>25m;true;
PRT;PRT000019490;8924032;PE-2147-C;PE-2147-C;EROS;CUQE;204239000;35;>25m;true;
PRT;PRT000021378;7507708;PTAVE-114319-C;PTAVE-114319-C;NADIR;CUFO8;204260000;29.3;>25m;true;
PRT;PRT000021014;9193434;VV-07-C;VV-07-C;CABO DO MAR;CUST8;204264000;25.4;>25m;true;
PRT;PRT000021016;8685832;H-194-C;H-194-C;REI DOS ACORES;CUTE8;204287000;29.9;>25m;true;
PRT;PRT000016291;6606480;PD-466-C;PD-466-C;COSTA DE SAO MIGUEL;CUTM;204804000;31.89;>25m;true;
PRT;PRT000019004;8881022;PTHOR-116590-C;PTHOR-116590-C;AMANHECER;CUXY;204807000;28.1;>25m;true;
PRT;PRT000019013;8880547;PTHOR-116589-C;PTHOR-116589-C;MILAO;CUSV;204810000;28.1;>25m;true;
PRT;PRT000019255;9088914;PTHOR-117281-C;PTHOR-117281-C;CONDOR;CUXB;204812000;28.1;>25m;true;
PRT;PRT000019025;8906420;PD-500-C;PD-500-C;CIDADE CELESTIAL;CUXT;204813000;28;>25m;true;
PRT;PRT000019221;8906432;PTPDL-120455-C;PTPDL-120455-C;IRIS DO MAR;CUXU;204814000;28.1;>25m;true;
PRT;PRT000019256;9088926;PTHOR-112819-C;PTHOR-112819-C;PARMA;CUYH;204815000;28.1;>25m;true;
PRT;PRT000016195;8880561;PTFNC-125677-C;PTFNC-125677-C;PEROLA DE SANTA CRUZ;CUTV;204824000;30.17;>25m;true;
PRT;PRT000019229;8880597;PTPDL-116696-C;PTPDL-116696-C;FLOR DO PICO;CUSX;204826000;31.14;>25m;true;
PRT;PRT000018988;8799827;H-215-C;H-215-C;MARIA LEONTINA;CUTI;204827000;30.8;>25m;true;
PRT;PRT000019251;8799918;PD-511-C;PD-511-C;FALCAO DO MAR;CUYR;204829000;25.41;>25m;true;
PRT;PRT000018642;8799750;PTHOR-118804-C;PTHOR-118804-C;BAIA DA HORTA;CUXJ;204833000;30.8;>25m;true;
