Nom;Marquage;Taille;Pays;IMO
Afrika ;SCH 24;126;NL;9175834
Alida ;SCH 6;100;NL;244309000
Annelies Ilena;KW174;144,6;PL;9204556
Annie Hillina;ROS170;86,33;DE;8028412
Carolien;SCH 81;126,22;NL;244070881
Cornelis Vrolijk;H 171;113,97;Namibie (ancien UK jusqu'en décembre 2022);8707537
Dirk Dirk ;KW172;95;NL;8209171
Frank Bonefaas;H 72;119;UK;9074951
GERDA MARIA;ROS786 ;81,32;P&P;8716928
Helen Mary;ROS785;116,7;DE;9126364
Tsaritsa ;UBFR7;125,53;Russie;8707446
Maartje Theadora;ROS171;140,8;DE;9182801
Margiris ;KL855;136,12;LIT;8301187
Mark;ROS777;85;DE;9690688
Naeraberg ;KG14;93,4;Iles Féroé;8918318
Nida;KL759;62;LIT;8707745
Prins Bernhard;FC716900;88,14;FR;8224406
Scombrus;CC 919999;;FR;9828936
W. van der Zwan;SCH 302;142,5;NL;9187306
Wiron 5;PH 1100;55,6;UK;9249556
Wiron 6 ;PH 2200;55,6;UK;9249568
Zeeland ;SCH 123;113,97;NL;8901913
