id;mmsi;start_date;end_date;details;
ESP000003644;359102000;11/03/2016;;;
ESP000003644;617045000;19/11/2012;11/03/2016;exported;
ESP000008238;373391000;29/01/2019;;;
ESP000008238;735058805;12/03/2015;29/01/2019;exported;
ESP000012215;735059088;08/08/2012;;;
ESP000012217;735059089;01/01/2012;;;
ESP000012218;306094000;08/03/2012;;;
ESP000012219;735057638;03/01/2012;;;
ESP000013237;359101000;11/03/2016;;;
ESP000013237;617038000;04/02/2015;11/03/2016;exported;
ESP000020208;371967000;15/04/2021;;;
ESP000020208;359004000;21/12/2014;06/04/2021;exported;
ESP000020209;359003000;21/08/2014;;;
ESP000021905;461000089;01/06/2022;;;
ESP000021905;312590000;06/12/2013;19/06/2022;exported;
ESP000021905;224875000;03/12/2012;06/12/2013;exported;
ESP000021921;677030400;25/02/2022;;;
ESP000021921;306034000;28/04/2015;25/02/2022;exported;
ESP000021921;529200000;28/11/2014;27/04/2015;exported;
ESP000024024;664572000;01/03/2014;;;
ESP000024024;224470000;02/01/2012;21/06/2013;exported;
ESP000024421;664326000;06/06/2018;;;
FRA000899950;228231700;25/05/2013;;;
FRA000930605;352003704;11/03/2024;;;
FRA000930605;645524000;19/01/2019;23/03/2024;exported;
FRA000930605;660005100;14/09/2012;19/01/2019;exported;
GBR000C21269;232025014;07/01/2020;;;
ITA000025490;247147230;14/08/2014;;;
PS001;735057565;01/01/2012;;;
PS002;735057587;01/01/2012;;;
PS004;735058003;02/09/2012;;;
PS006;306097000;12/11/2015;;;
PS007;518998447;13/01/2023;;;
PS008;664000135;14/02/2023;;;
PS008;617094000;30/07/2014;05/01/2017;exported;
PS008;306783000;25/05/2014;13/01/2023;exported;
PS008;312191000;10/01/2012;14/02/2023;exported;
PS009;332001000;17/03/2014;;;
PS009;312912000;01/01/2012;22/11/2013;exported;
PS010;332154000;10/06/2016;;;
PS011;353171000;23/04/2014;;;
PS012;353490000;22/02/2014;;;
PS013;353770000;01/01/2012;;;
PS014;645743000;18/12/2023;;;
PS014;356702000;26/08/2019;18/12/2023;exported;
PS015;359001000;21/08/2014;;;
PS016;359002000;18/05/2015;;;
PS019;359030518;07/05/2018;;;
PS019;338873000;16/02/2015;07/05/2018;exported;
PS021;371789000;01/01/2012;;;
PS024;645749000;03/02/2024;;;
PS024;374573000;01/06/2015;03/02/2024;exported;
PS025;352999958;03/12/2023;;;
PS025;645373000;24/06/2013;02/12/2023;exported;
PS026;352999957;02/12/2023;;destroyed?;
PS026;645374000;29/10/2013;02/12/2023;exported;
PS027;645474000;13/02/2017;;destroyed?;
PS027;664558000;16/07/2013;25/01/2017;exported;
PS029;312257000;09/01/2023;;;
PS029;664097000;15/06/2015;09/01/2023;exported;
PS029;645397000;19/01/2015;15/06/2015;exported;
PS030;664223000;05/04/2016;;;
PS031;664268000;17/05/2014;;;
PS033;664348000;19/02/2015;;;
PS034;664563000;20/12/2013;;;
PS036;312360000;09/12/2022;;;
PS036;664545000;18/11/2014;09/12/2022;exported;
PS036;645396000;27/09/2014;18/11/2014;exported;
PS037;664576000;21/03/2014;;;
PS038;664578000;26/06/2015;;;
PS039;664579000;11/02/2015;;;
PS040;664584000;29/10/2014;;;
PS042;735057564;11/01/2012;;;
PS045;735059287;14/11/2014;;;
PS046;312078000;08/05/2023;;;
PS046;617095000;15/08/2014;28/04/2021;exported;
PS046;306041000;11/07/2014;08/05/2023;exported;
SWE000000043;276853000;14/10/2020;;;
SWE000000043;230138890;24/10/2018;14/10/2020;exported;
SWE000000043;265781000;03/01/2012;24/10/2018;exported;
SWE000000055;265708000;02/01/2012;;;
SWE000000056;265765000;03/01/2012;10/02/2021;;
SWE000006695;265754000;03/01/2012;;;
SWE000006713;423528100;02/11/2023;;;
SWE000006713;265750000;24/08/2013;06/11/2023;exported;
SWE000006738;423529100;25/01/2024;;;
