id;mmsi;start_date;end_date;details;
SWE000006738;265704000;17/10/2013;25/01/2024;exported;
SWE000006742;265716000;10/07/2012;25/02/2025;change of activity;
SWE000006791;230627000;16/10/2012;;;
SWE000006791;265444000;03/01/2012;05/02/2012;exported;
SWE000006863;276761000;18/10/2012;;;
SWE000006912;265759000;03/01/2012;19/10/2023;;
SWE000007060;265769000;02/08/2020;;;
SWE000007095;265722000;26/08/2012;21/12/2023;;
SWE000007104;265770000;02/01/2012;;;
SWE000007118;261054050;03/12/2019;;;
SWE000007125;230012000;05/04/2012;;;
SWE000007126;230983690;16/10/2012;;;
SWE000007157;265787000;25/05/2012;;;
SWE000007181;219330000;03/01/2012;;;
SWE000007230;265751000;16/08/2012;24/06/2019;change of activity;
SWE000007312;230987140;21/10/2012;;;
SWE000007893;261497000;06/01/2012;;;
SWE000007968;250429000;12/01/2012;;;
SWE000008027;265008000;19/12/2018;;;
SWE000008027;230993160;14/02/2012;19/12/2018;exported;
SWE000008077;219022000;02/04/2012;;;
SWE000008244;266011000;04/01/2012;;;
SWE000008319;219026170;14/10/2019;;;
SWE000008319;266205000;04/02/2012;14/10/2019;exported;
SWE000008442;276845000;01/09/2018;;;
SWE000008442;266134000;09/10/2012;02/08/2018;exported;
SWE000009445;219168000;02/01/2012;;;
SWE000009717;211410690;26/03/2018;;;
SWE000009717;266346000;03/01/2012;26/03/2018;exported;
SWE000009763;257159000;19/04/2023;;;
SWE000009763;266353000;13/03/2012;19/04/2023;exported;
SWE000009795;230665000;23/08/2016;;;
SWE000009795;266352000;28/02/2012;23/08/2016;exported;
SWE000010025;219026318;02/01/2020;;;
SWE000010025;266427000;02/07/2014;02/01/2020;exported;
SWE000010126;266352000;12/10/2018;;;
SWE000010126;265758360;16/03/2016;12/10/2018;exported;
SWE000010126;258121000;05/01/2012;16/03/2016;exported;
SWE000010230;266460000;15/03/2018;;;
SWE000010243;266461000;07/06/2018;;;
SWE000010307;265028000;26/02/2020;;;
SWE000010331;219030383;11/04/2022;;;
SWE000010331;266000000;20/05/2020;11/04/2022;;
SWE000010350;265034000;10/12/2020;;;
SWE000010376;265035000;06/05/2021;;;
SWE000010422;277584000;08/03/2024;;;
SWE000010422;265043000;11/08/2022;08/03/2024;exported;
NLD200002594;250005681;10/06/2019;;;
NLD200002594;244810000;01/01/2012;10/06/2019;exported;
