id;mmsi;ship_name;length;length_class;country_iso3;type;imo;cfr;ircs;external_marking;tracking_activated;tracking_status;check;details;width
PRT000016157;204226000;AGUAS SANTAS;27.2;25-40 m;PRT;Other;8610796;PRT000016157;CUTG;PTADH-113639-C;TRUE;active;fleet register;NA;
ESP000025315;224056190;AGUSTIN DEUNA;36.2;25-40 m;ESP;Purse seiner;9248863;ESP000025315;EBYD;3SS-3-1-02;TRUE;active;fleet register;NA;
IRL000I01195;265019000;AHLMA;48.6;40-60 m;SWE;Pelagic trawler;9278129;IRL000I01195;SBXL;GG206;TRUE;active;fleet register;NA;
SWE000008319;219026170;AHLMA-WEST;39.78;25-40 m;DNK;Pelagic trawler;8741416;SWE000008319;OYNY;S206;TRUE;active;fleet register;NA;
ESP000026204;224138950;AIROA;28;25-40 m;ESP;Bottom trawler;9338383;ESP000026204;ECHS;3VILL-1-14-04;TRUE;active;fleet register;NA;
ESP000024678;224070000;AITA FRAXKU;38.3;25-40 m;ESP;Purse seiner;9212943;ESP000024678;EACD;3SS-1-7-99;FALSE;exported;fleet register;NA;
ESP000025325;224064850;AITANA DEL MAR;27.19;25-40 m;ESP;Purse seiner;8739982;ESP000025325;EBWK;3ST-4-5-01;TRUE;active;fleet register;NA;
ESP000023062;224087530;AKETXE;26;25-40 m;ESP;Bottom trawler;8734748;ESP000023062;EALG;3BI-4-3-95;TRUE;active;fleet register;NA;
ESP000026948;225341000;AKILLAMENDI BERRIA;35.4;25-40 m;ESP;Other;9443449;ESP000026948;ECMN;3BI-4-1-07;TRUE;active;fleet register;NA;
LVA000000002;275230000;AKO;25.45;25-40 m;LVA;Pelagic trawler;9076715;LVA000000002;YL2256;LVR0798;TRUE;active;fleet register;NA;
ESP000026547;224702000;ALAKRANA;104.3;> 80 m;ESP;Purse seiner;9335745;ESP000026547;ECKG;3BI-2-1-05;TRUE;active;fleet register;NA;
IRL000I14607;225993433;ALANNAH RILEY;28.62;25-40 m;ESP;Bottom trawler;9782390;IRL000I14607;EAFC;3VI-5-3-20;TRUE;active;fleet register;NA;
ESP000025084;224047430;ALBA MAR;31.35;25-40 m;ESP;Bottom trawler;8733457;ESP000025084;EBVZ;3GI-6-5-00;TRUE;active;fleet register;NA;
ESP000000755;224755000;ALBACORA CUATRO;83.45;> 80 m;ESP;Purse seiner;7325904;ESP000000755;EALM;3VI-5-9478;TRUE;active;fleet register;NA;
ESP000012216;224727000;ALBACORA QUINCE;85.85;> 80 m;ESP;Purse seiner;8206296;ESP000012216;EDUS;3VI-5-9835;TRUE;active;fleet register;NA;
ESP000023164;224782000;ALBACORA UNO;105;> 80 m;ESP;Purse seiner;9127435;ESP000023164;EAMB;3VI-5-1-96;TRUE;active;fleet register;NA;
PRT000020835;263401880;ALBAMAR;28.2;25-40 m;PRT;Bottom trawler;9201267;PRT000020835;CUFB9;PTAVE-113958-C;TRUE;active;fleet register;NA;
LVA000000165;275026000;ALBATROSS 1;25.6;25-40 m;LVA;Pelagic trawler;8829189;LVA000000165;YLIK;LVL2039;TRUE;active;fleet register;NA;
LTU000000001;275526000;ALBATROSS 2;25.5;25-40 m;LVA;Pelagic trawler;8876780;LTU000000001;YLRU;LVL2159;TRUE;active;fleet register;NA;
LTU000000005;275527000;ALBATROSS 3;25.5;25-40 m;LVA;Pelagic trawler;8876651;LTU000000005;YLRV;LVL2160;TRUE;active;fleet register;NA;
ESP000025923;224088000;ALBATUN DOS;116;> 80 m;ESP;Purse seiner;9281308;ESP000025923;ECEM;3CA-3-9-03;TRUE;active;fleet register;NA;
ESP000026123;224680000;ALBATUN TRES;115;> 80 m;ESP;Purse seiner;9281310;ESP000026123;EADN;3VI-5-12-03;TRUE;active;fleet register;NA;
ESP000027008;225360000;ALBELO PRIMERO;32.5;25-40 m;ESP;Other;9476513;ESP000027008;ECMU;3LU-3-2-07;TRUE;active;fleet register;NA;
POL033900180;261003890;ALBERT;25.6;25-40 m;POL;Other;7405584;POL033900180;SPG2005;WŁA-131;TRUE;active;fleet register;NA;
PRT000001730;263207000;ALBIMAR;28.66;25-40 m;PRT;Other;8109553;PRT000001730;CUON;PE-1999-C;TRUE;active;fleet register;NA;
ESP000015591;224745000;ALBONIGA;54.5;40-60 m;ESP;Purse seiner;8613267;ESP000015591;EDKU;3BI-2-2859;TRUE;active;fleet register;NA;
ESP000026149;224134990;ALBYMAR;26.25;25-40 m;ESP;Bottom trawler;8734815;ESP000026149;EAOT;3CP-3-7-04;TRUE;active;fleet register;NA;
ESP000023521;224051180;ALCALDE UNO;28;25-40 m;ESP;Other;9163362;ESP000023521;EA3031;3TE-1-1-97;TRUE;active;fleet register;NA;
ESP000025526;224076000;ALEMAR PRIMERO;31;25-40 m;ESP;Other;9266748;ESP000025526;ECBE;3VI-5-10-02;TRUE;active;fleet register;NA;
ESP000023341;224142870;ALEXIA;28;25-40 m;ESP;Other;9150585;ESP000023341;EA2781;3VI-5-8-96;TRUE;active;fleet register;NA;
ESP000024970;224026860;ALFONSO RIERA CUARTO;25.5;25-40 m;ESP;Bottom trawler;8739932;ESP000024970;EBSY;3HU-2-1-01;TRUE;active;fleet register;NA;
ESP000023721;224032270;ALFONSO RIERA SEGUNDO;27.5;25-40 m;ESP;Bottom trawler;9175377;ESP000023721;EAQQ;3HU-3-10-97;TRUE;active;fleet register;NA;
ESP000024987;224282000;ALFONSO RIERA TERCERO;26;25-40 m;ESP;Bottom trawler;8734877;ESP000024987;EAGP;3HU-3-12-00;TRUE;active;fleet register;NA;
NLD198400326;244309000;ALIDA;99.94;> 80 m;NLD;Pelagic trawler;8224418;NLD198400326;PCLU;SCH-6;TRUE;active;fleet register;NA;
NLD198901091;261001225;ALINA;110.8;> 80 m;POL;Pelagic trawler;8918318;NLD198901091;SNSB;GDY-346;TRUE;active;fleet register;NA;
PRT000023093;263582000;ALMA LUSA;44.9;40-60 m;PRT;Other;9362774;PRT000023093;CUPV3;PM-1269-N;TRUE;active;fleet register;NA;
ESP000023019;224081790;ALMIKEKO AMA;25.35;25-40 m;ESP;Other;2812457;ESP000023019;EA7862;3BI-2-2-95;TRUE;active;fleet register;NA;
ESP000024515;224096770;ALMIRANTE BERRIA;26.5;25-40 m;ESP;Purse seiner;8739516;ESP000024515;EA4240;3BI-2-6-99;TRUE;active;fleet register;NA;
GBR000B13497;235001620;AMADEUS;24.5;15-25 m;GBR;Other;9040675;GBR000B13497;MQNV9;TH7;TRUE;active;manual;NA;
ESP000027732;225985323;AMANECER;25.55;25-40 m;ESP;Other;8785175;ESP000027732;EAEP;3TE-1-1-15;TRUE;active;fleet register;NA;
PRT000019004;204807000;AMANHECER;28.1;25-40 m;PRT;Other;8881022;PRT000019004;CUXY;PTHOR-116590-C;TRUE;active;fleet register;NA;
ESP000023587;224043560;AMEAL;29.3;25-40 m;ESP;Other;9168910;ESP000023587;EAQD;3VI-7-15-97;TRUE;active;fleet register;NA;
ESP000026196;224137550;AMENEIRO;28;25-40 m;ESP;Bottom trawler;9338371;ESP000026196;EASY;3VILL-1-15-04;TRUE;active;fleet register;NA;
DEU405030101;211801150;AMRUMBANK;31.97;25-40 m;DEU;Bottom trawler;9833046;DEU405030101;DJUN;SC10;TRUE;active;fleet register;NA;
ESP000025101;224622000;ANA GANDON;58;40-60 m;ESP;Bottom trawler;9249532;ESP000025101;EBVE;3VI-4-3-01;TRUE;active;fleet register;NA;
ESP000024668;224065000;ANA ISABEL;28;25-40 m;ESP;Bottom trawler;8959312;ESP000024668;EASJ;3VI-5-8-00;TRUE;active;fleet register;NA;
ESP000027069;225382000;ANCHOUSA;30.5;25-40 m;ESP;Other;9431422;ESP000027069;ECNR;3CU-1-2-07;TRUE;active;fleet register;NA;
FRA000924680;228190900;ANDRE LEDUC;44;40-60 m;FRA;Bottom trawler;9294915;FRA000924680;FMAU;BL924680;TRUE;active;fleet register;NA;
DEU001650300;211103000;ANDREA;34.91;25-40 m;DEU;Dredger;8429082;DEU001650300;DCWH;NOR204;FALSE;exit;fleet register;NA;
ESP000024580;224005590;ANDREKALA BERRIA;29;25-40 m;ESP;Bottom trawler;9244489;ESP000024580;EAYK;3BI-4-3-00;TRUE;active;fleet register;NA;
ESP000024640;224510000;ANDRES R;32.53;25-40 m;ESP;Bottom trawler;9098854;ESP000024640;EAKH;3HU-3-9-00;TRUE;active;fleet register;NA;
ESP000024717;224011830;ANDUIZA ANAIAK;27.55;25-40 m;ESP;Purse seiner;9244532;ESP000024717;EA4906;3BI-2-6-00;TRUE;active;fleet register;NA;
ITA000026347;247111260;ANGELA MADRE;46.9;40-60 m;ITA;Purse seiner;8653762;ITA000026347;IPND;00NA02095M;TRUE;active;fleet register;NA;
ESP000025262;224051190;ANGELES Y ANTONIO;25.05;25-40 m;ESP;Bottom trawler;8799530;ESP000025262;EA2402;3MA-5-2-01;TRUE;active;fleet register;NA;
NLD202001172;246424000;ANNA;27.7;25-40 m;NLD;Bottom trawler;9890111;NLD202001172;PDUF;UK-24;TRUE;active;fleet register;NA;
ITA000008993;247300940;ANNA;25.05;25-40 m;ITA;Bottom trawler;NA;ITA000008993;IVJY;00AU01795;TRUE;active;fleet register;NA;
NLD198700833;246027000;ANNA ELIZABETH;40.08;40-60 m;NLD;Dredger;8706284;NLD198700833;PCRI;YE-42;TRUE;active;fleet register;NA;
NLD199001077;244672000;ANNA HENDRIKA;42;40-60 m;NLD;Bottom trawler;9012599;NLD199001077;PDXZ;KW-45;TRUE;active;fleet register;NA;
DNK000030600;219597000;ANNA-LISE;31.72;25-40 m;DNK;Bottom trawler;8943296;DNK000030600;OZOI;L56;TRUE;active;fleet register;NA;
GBR000C21098;232015678;ANNALIJDIA;37.51;25-40 m;GBR;Trawler (nei);9828821;GBR000C21098;MDDI7;LT43;TRUE;active;fleet register;NA;
NLD202172082;246106000;ANNE MARIE;24.98;15-25 m;NLD;Demersal seiner;9909118;NLD202172082;PDYQ;SL-26;TRUE;active;fleet register;NA;
IRL000I13000;261084090;ANNELIES ILENA;144.6;> 80 m;POL;Pelagic trawler;9204556;IRL000I13000;SPG4839;GDY-151;TRUE;active;fleet register;NA;
NLD198100312;218359000;ANNIE HILLINA;86.33;> 80 m;DEU;Bottom trawler;NA;NLD198100312;DEDT2;ROS170;FALSE;wreck;fleet register;NA;
GBR000C19094;235051671;ANSGAR;36.6;25-40 m;GBR;Demersal seiner;9241994;GBR000C19094;MMQA;E104;TRUE;active;fleet register;NA;
ESP000026388;224152140;ANSIA;27.14;25-40 m;ESP;Purse seiner;9368376;ESP000026388;ECIO;3SS-1-1-05;TRUE;active;fleet register;NA;
ESP000026597;224105000;ANTIUKO AMA;38.5;25-40 m;ESP;Bottom trawler;9097173;ESP000026597;ECJS;3BI-4-2-05;TRUE;active;fleet register;NA;
BEL035961988;205752000;ANTJE DE VRIES;37.84;25-40 m;BEL;Bottom trawler;8812760;BEL035961988;OPEK;Z.115;TRUE;active;fleet register;NA;
HRV000013298;238905840;ANTONI;29.54;25-40 m;HRV;Purse seiner;9241736;HRV000013298;9AA6321;PU R 269;TRUE;active;fleet register;NA;
ITA000025490;247147230;ANTONINO SIRRATO;29.26;25-40 m;ITA;Bottom trawler;8649292;ITA000025490;IZHM;00MV00343M;TRUE;active;fleet register;NA;
PRT000021994;228079900;ANTONIO MARIA;32;25-40 m;FRA;Other;8792348;PRT000021994;FJVN;BA933525;TRUE;active;fleet register;NA;
ESP000026025;224268000;ANXUELA;30;25-40 m;ESP;Other;9099559;ESP000026025;ECFO;3LU-3-1-04;TRUE;active;fleet register;NA;
DEU000090400;211332630;AQUA FAUNA;31.37;25-40 m;DEU;Bottom trawler;8104448;DEU000090400;DESL;NG10;TRUE;active;fleet register;NA;
ESP000023570;224030940;ARADON BERRIA;25;25-40 m;ESP;Other;8735780;ESP000023570;EA3095;3BI-2-1-97;TRUE;active;fleet register;NA;
HRV000000984;238469740;ARBUN II;28.2;25-40 m;HRV;Purse seiner;8975718;HRV000000984;9AA5097;ZD R 166;TRUE;active;fleet register;NA;
ESP000025129;224047990;ARCA UNO;28;25-40 m;ESP;Other;9252149;ESP000025129;EBWO;3VI-5-13-01;TRUE;active;fleet register;NA;
SWE000008027;265008000;ARCADIA;37.24;25-40 m;SWE;Pelagic trawler;7340978;SWE000008027;SJWA;GE49;TRUE;active;fleet register;NA;
ESP000023656;224046360;ARELA;26.9;25-40 m;ESP;Purse seiner;8735792;ESP000023656;EA3180;3CO-7-5-97;TRUE;active;fleet register;NA;
NLD200202640;245252000;AREND-JAN;42.37;40-60 m;NLD;Bottom trawler;9242742;NLD200202640;PBGF;GO-26;TRUE;active;fleet register;NA;
ESP000024588;228048600;ARGELES;33.6;25-40 m;FRA;Bottom trawler;9221542;ESP000024588;FIOI;LO932355;TRUE;active;fleet register;NA;
SWE000010243;266461000;ARKÖ;28.05;25-40 m;SWE;Bottom trawler;9814715;SWE000010243;SBAK;GG707;TRUE;active;fleet register;NA;
ESP000023665;224134120;ARMAVEN TRES;28.38;25-40 m;ESP;Bottom trawler;9144641;ESP000023665;EACA;3VI-5-4-97;TRUE;active;fleet register;NA;
FRA000554169;227926000;ARMOR 2;26.09;25-40 m;FRA;Other;8225826;FRA000554169;FUKR;BA554169;TRUE;active;fleet register;NA;
ESP000015540;224871000;AROSA NUEVE;56.2;40-60 m;ESP;Bottom trawler;8617469;ESP000015540;EDRT;3CO-2-3844;TRUE;active;fleet register;NA;
ESP000025232;224065290;ARRANTZALE;32;25-40 m;ESP;Purse seiner;9248887;ESP000025232;EBVT;3SS-1-3-01;TRUE;active;fleet register;NA;
ESP000024563;224005540;ARRETXU BERRIA;29;25-40 m;ESP;Bottom trawler;9244477;ESP000024563;EAWH;3BI-4-4-00;TRUE;active;fleet register;NA;
ESP000025960;224000220;ARRIGORRI;32.6;25-40 m;ESP;Other;8731045;ESP000025960;EBZL;3BI-4-1-03;TRUE;active;fleet register;NA;
PRT000019385;204232000;ARTUR E TERESA;32.8;25-40 m;PRT;Other;9010187;PRT000019385;CUMD;AN-217-C;FALSE;mmsi change;fleet register;NA;
DNK000046479;219029579;ASBJØRN;89.35;> 80 m;DNK;Bottom trawler;9899337;DNK000046479;OZFX;HG265;TRUE;active;fleet register;NA;
FRA000544859;227380000;ASPIN;34;25-40 m;FRA;Other;7928847;FRA000544859;FPSH;BA544859;TRUE;active;fleet register;NA;
PRT000021396;263402890;ASTER;25.1;25-40 m;PRT;Bottom trawler;8647892;PRT000021396;CURM9;PTLEI-119425-C;TRUE;active;fleet register;NA;
ESP000024433;224096160;ASTISOL;27.6;25-40 m;ESP;Bottom trawler;9210971;ESP000024433;EAWG;3ST-4-2-99;TRUE;active;fleet register;NA;
DNK000046900;219030452;ASTRID;91.8;> 80 m;DNK;Bottom trawler;9919759;DNK000046900;OZPO;S264;TRUE;active;fleet register;NA;
SWE000010350;265034000;ASTRID-MARIE;63.85;60-80 m;SWE;Pelagic trawler;9900978;SWE000010350;SBYU;GG64;TRUE;active;fleet register;NA;
ESP000100101;224774000;ATERPE ALAI;89.28;> 80 m;ESP;Purse seiner;9842011;ESP000100101;EAMT;3BI-2-1-18;TRUE;active;fleet register;NA;
GBR000A13712;266199000;ATLANTIC;26.48;25-40 m;SWE;Bottom trawler;8805468;GBR000A13712;SMCP;LL628;TRUE;active;fleet register;NA;
ESP000025606;224087790;ATTONA DOMINGO;33.33;25-40 m;ESP;Purse seiner;9294898;ESP000025606;ECCZ;3SS-1-2-03;TRUE;active;fleet register;NA;
LVA000000015;275231000;AUDA;25.45;25-40 m;LVA;Pelagic trawler;9077692;LVA000000015;YL2257;LVR0797;TRUE;active;fleet register;NA;
NLD201901148;244704000;AUKE SENIOR;30.15;25-40 m;NLD;Bottom trawler;9856517;NLD201901148;PCWI;UK-225;TRUE;active;fleet register;NA;
ESP000023885;224651000;AURORA B;84.1;> 80 m;ESP;Purse seiner;9156058;ESP000023885;EAQT;3BI-2-5-97;TRUE;active;fleet register;NA;
PRT000021878;263406940;AURORA BOREAL;26.5;25-40 m;PRT;Bottom trawler;8689644;PRT000021878;CUQY3;PTOLH-114873-C;TRUE;active;fleet register;NA;
EST010101150;275500000;AUSEKLIS;63.83;60-80 m;LVA;Bottom trawler;8315956;EST010101150;YLPL;LVR0851;TRUE;active;fleet register;NA;
PRT000018692;255505000;AUTONOMIA;27;25-40 m;PRT;Other;8523424;PRT000018692;CUXX;FN-1625-C;TRUE;active;fleet register;NA;
BEL030262022;205133000;AVANTI;37.9;25-40 m;BEL;Bottom trawler;9913315;BEL030262022;OPAZ;Z.26;TRUE;active;fleet register;NA;
NLD199201765;205321000;AVATAR;37.45;25-40 m;BEL;Bottom trawler;9044580;NLD199201765;OPMU;Z.333;TRUE;active;fleet register;NA;
PRT000000092;263502000;AVEIRENSE;80.02;> 80 m;PRT;Bottom trawler;7362823;PRT000000092;CUFV;A-2318-N;TRUE;active;fleet register;NA;
FRA000854430;228255000;AVEL VAD;67.3;60-80 m;FRA;Purse seiner;9128520;FRA000854430;FNAL;CC854430;TRUE;active;fleet register;NA;
ESP000100009;224565000;AVENEIRA;32;25-40 m;ESP;Other;9850173;ESP000100009;EAHV;3LU-3-1-18;TRUE;active;fleet register;NA;
PRT000025051;263439250;AVÔ ANTÓNIO;26.02;25-40 m;PRT;Bottom trawler;9917024;PRT000025051;CUAE8;VR-563-C;TRUE;active;fleet register;NA;
PRT000022914;263580000;AVÔ MÚSICO;41;40-60 m;PRT;Other;9280043;PRT000022914;CUBH3;V-24-N;TRUE;active;fleet register;NA;
PRT000021101;255502000;AZIMUTE;32;25-40 m;PRT;Other;9183116;PRT000021101;CUGN;PTFNC-120353-C;TRUE;active;fleet register;NA;
ESP000025608;224086780;AZKOITIA;33;25-40 m;ESP;Purse seiner;9279991;ESP000025608;ECBT;3SS-3-1-03;TRUE;active;fleet register;NA;
PRT000018642;204833000;BAIA DA HORTA;30.8;25-40 m;PRT;Other;8799750;PRT000018642;CUXJ;PTHOR-118804-C;TRUE;active;fleet register;NA;
PRT000022393;255402260;BAIA DO FUNCHAL;28.5;25-40 m;PRT;Other;9360219;PRT000022393;CURS3;PTFNC-125674-C;TRUE;active;fleet register;NA;
DEU002120300;211102000;BALDVIN;80.35;> 80 m;DEU;Bottom trawler;9048902;DEU002120300;DFIT;NC101;FALSE;exit;fleet register;NA;
ESP000026816;224213490;BALEIRO PRIMERO;31;25-40 m;ESP;Bottom trawler;9095254;ESP000026816;EAAN;3VI-5-14-03;TRUE;active;fleet register;NA;
FIN000110040;230996090;BALTIC;27.3;25-40 m;FIN;Pelagic trawler;8580991;FIN000110040;OI5951;FIN-145-O;TRUE;active;fleet register;NA;
IRL000I10294;230035000;BALTIK;27.05;25-40 m;FIN;Pelagic trawler;8022731;IRL000I10294;OJRJ;FIN-187-O;TRUE;active;fleet register;NA;
LTU000000010;276862000;BALTIK;25.5;25-40 m;EST;Pelagic trawler;8863379;LTU000000010;ESLU;EK-2101;TRUE;active;fleet register;NA;
PRT000023097;263584000;BALUEIRO;39.1;25-40 m;PRT;Other;9296925;PRT000023097;CUIB8;PTOLH-117343-N;TRUE;active;fleet register;NA;
ESP000021571;224051350;BALUEIRO SEGUNDO;37;25-40 m;ESP;Other;8822404;ESP000021571;EHPX;3GI-4-2182;TRUE;active;fleet register;NA;
LVA000000007;275218000;BANDAVA;25.45;25-40 m;LVA;Pelagic trawler;8868513;LVA000000007;YL2055;LVV1507;FALSE;exported;fleet register;NA;
ESP000024966;224324000;BAQUEIRO;34.5;25-40 m;ESP;Bottom trawler;8733342;ESP000024966;EBRJ;3VI-5-18-00;TRUE;active;fleet register;NA;
ESP000022519;224157000;BASALDUA;27;25-40 m;ESP;Other;8684694;ESP000022519;EA7626;3FE-3-1-93;TRUE;active;fleet register;NA;
ESP000023897;224181290;BAUTISTA PINO;29;25-40 m;ESP;Bottom trawler;9191151;ESP000023897;EASK;3VI-5-7-98;TRUE;active;fleet register;NA;
ESP000016016;224306000;BAZ;29.1;25-40 m;ESP;Other;8808757;ESP000016016;EAAW;3VI-5-10037;TRUE;active;fleet register;NA;
DNK000043855;219731000;BEINUR;78;60-80 m;DNK;Pelagic trawler;9746097;DNK000043855;OWAR;HG62;TRUE;active;fleet register;NA;
PRT000020224;263234000;BEIRA LITORAL;25.48;25-40 m;PRT;Bottom trawler;9139103;PRT000020224;CUFA6;PTAVE-113825-C;TRUE;active;fleet register;NA;
ESP000026548;224906180;BEJAR;27.9;25-40 m;ESP;Bottom trawler;9335276;ESP000026548;EBTR;3VILL-1-21-05;TRUE;active;fleet register;NA;
FRA000683096;228367800;BEOTHUK;34.52;25-40 m;FRA;Other;8514588;FRA000683096;FHIV;BA683096;TRUE;active;fleet register;NA;
DNK000040071;244150302;BERENDINA;27.12;25-40 m;NLD;Demersal seiner;9568079;DNK000040071;PCIN;UK-642;TRUE;active;fleet register;NA;
DNK000013679;219661000;BERING SEA;27.75;25-40 m;DNK;Other;8131130;DNK000013679;OXYA;L126;FALSE;wreck;fleet register;NA;
FRA000929727;660002000;BERNICA;89.4;> 80 m;FRA;Purse seiner;9600853;FRA000929727;FLTZ;DI929727;TRUE;active;fleet register;NA;
ESP000024172;224081180;BERRIZ ALBONIGAMAYOR;26.5;25-40 m;ESP;Other;9209154;ESP000024172;EA3954;3BI-2-1-99;TRUE;active;fleet register;NA;
ESP000025310;224061430;BERRIZ AVE MARIA;35.6;25-40 m;ESP;Purse seiner;8744858;ESP000025310;EBYM;3SS-1-1-02;TRUE;active;fleet register;NA;
ESP000023227;224018460;BERRIZ IRIGOIEN;35.6;25-40 m;ESP;Purse seiner;8733471;ESP000023227;EAEC;3SS-3-2-96;TRUE;active;fleet register;NA;
ESP000025568;224074890;BERRIZ KUKUARRI;32;25-40 m;ESP;Purse seiner;9275282;ESP000025568;ECBW;3SS-1-3-02;TRUE;active;fleet register;NA;
ESP000023394;224141970;BERRIZ MATUTINA;30.85;25-40 m;ESP;Purse seiner;9149108;ESP000023394;EANA;3SS-1-1-96;TRUE;active;fleet register;NA;
ESP000025888;224106260;BERRIZ PATXIKU;30.4;25-40 m;ESP;Purse seiner;9099640;ESP000025888;ECES;3SS-3-4-03;TRUE;active;fleet register;NA;
ESP000025891;224098930;BERRIZ SAN FRANCISCO;35.6;25-40 m;ESP;Purse seiner;9297450;ESP000025891;EAID;3SS-1-7-03;TRUE;active;fleet register;NA;
ESP000026696;224185350;BERTO;27.31;25-40 m;ESP;Bottom trawler;8746246;ESP000026696;ECKI;3BA-6-5-05;TRUE;active;fleet register;NA;
ESP000025321;224059860;BETI AINGERU;33.28;25-40 m;ESP;Purse seiner;8739853;ESP000025321;EBXB;3SS-3-2-01;TRUE;active;fleet register;NA;
ESP000022981;224138330;BETI BEGOÑAKO AMA;25.35;25-40 m;ESP;Other;2812392;ESP000022981;EA6648;3BI-2-2-94;TRUE;active;fleet register;NA;
ESP000023206;224051560;BETI ITXAS ARGI;26;25-40 m;ESP;Purse seiner;9148726;ESP000023206;EA2521;3GI-4-1-96;TRUE;active;fleet register;NA;
ESP000025229;224063680;BETI PIEDAD;36;25-40 m;ESP;Purse seiner;9099743;ESP000025229;EBXK;3SS-3-4-01;TRUE;active;fleet register;NA;
ESP000010863;224004800;BETI SAN LUIS;28.5;25-40 m;ESP;Purse seiner;7222164;ESP000010863;EAMN;3SS-2-1868;TRUE;active;fleet register;NA;
ESP000021786;224076630;BIDASOA;33;25-40 m;ESP;Other;8798433;ESP000021786;EGZZ;3SS-1-2449;TRUE;active;fleet register;NA;
NLD199902603;245390000;BIEM VAN DER VIS;42.21;40-60 m;NLD;Bottom trawler;9225627;NLD199902603;PFBS;TX-43;TRUE;active;fleet register;NA;
ESP000026787;228019600;BIKAIN;31.4;25-40 m;FRA;Bottom trawler;9095333;ESP000026787;FICM;BA930106;TRUE;active;fleet register;NA;
DNK000044956;219024698;BIRGITTE;32.2;25-40 m;DNK;Bottom trawler;9841548;DNK000044956;OXQD;L349;TRUE;active;fleet register;NA;
DNK000045339;219025535;BIRGITTE MARTINE;32.2;25-40 m;DNK;Bottom trawler;9867786;DNK000045339;OXJO;S149;TRUE;active;fleet register;NA;
ESP000025013;224027470;BLANCA B;25.03;25-40 m;ESP;Bottom trawler;8533962;ESP000025013;EBTI;3CP-3-3-01;TRUE;active;fleet register;NA;
HRV000002853;238400840;BLANKA;28.96;25-40 m;HRV;Purse seiner;9241566;HRV000002853;9AA4508;ZD R 161;TRUE;active;fleet register;NA;
POL034500116;261003640;BLANKA;25.69;25-40 m;POL;Bottom trawler;7393482;POL034500116;SPG2130;WŁA-209;TRUE;active;fleet register;NA;
BEL030602001;205198000;BLUE ANGEL;37.83;25-40 m;BEL;Bottom trawler;9222077;BEL030602001;OPCH;Z.60;TRUE;active;fleet register;NA;
NLD198600515;244977000;BLUE FIN;32.2;25-40 m;NLD;Dredger;8930005;NLD198600515;PFSF;VLI-5;TRUE;active;fleet register;NA;
