id;mmsi;ship_name;length;length_class;country_iso3;type;imo;cfr;ircs;external_marking;tracking_activated;tracking_status;check;details;width
LTU000000075;277221000;104;26.2;25-40 m;LTU;Other;NA;LTU000000075;LYLV;KL 554;TRUE;active;fleet register;NA;
LTU000000057;277215000;169;25.5;25-40 m;LTU;Bottom trawler;8925517;LTU000000057;LYNQ;KL 247;TRUE;active;fleet register;NA;
LTU000000079;277217000;652;25.5;25-40 m;LTU;Bottom trawler;8138982;LTU000000079;LYLM;KL 366;TRUE;active;fleet register;NA;
DNK000032117;219853000;AALTJE POSTMA;37.76;25-40 m;DNK;Seiner (nei);9210024;DNK000032117;OZXH;L757;TRUE;active;fleet register;NA;
NLD199301890;245836000;AART MAASKANT;42.36;40-60 m;NLD;Bottom trawler;9101211;NLD199301890;PCAX;UK-95;TRUE;active;fleet register;NA;
ESP000026741;224192570;ABRA DE AGUIÑO;27.14;25-40 m;ESP;Purse seiner;9095228;ESP000026741;ECKS;3VILL-1-4-06;TRUE;active;fleet register;NA;
NLD199001075;245307000;ADRIAANTJE;42.45;40-60 m;NLD;Bottom trawler;9013907;NLD199001075;PDHR;UK-2;TRUE;active;fleet register;NA;
ESP000026518;224175430;ADVIENTO UNO;32;25-40 m;ESP;Other;9368431;ESP000026518;ECJN;3LU-2-3-05;TRUE;active;fleet register;NA;
BEL013161987;205241000;AEGIR;32.32;25-40 m;BEL;Bottom trawler;8615514;BEL013161987;OPMD;O.316;TRUE;active;fleet register;NA;
ESP000025665;224092730;AFANUDA SEGUNDO;26.04;25-40 m;ESP;Bottom trawler;8743713;ESP000025665;ECDB;3VILL-1-01-03;TRUE;active;fleet register;NA;
NLD199802182;245811000;AFRIKA;126.22;> 80 m;NLD;Pelagic trawler;9175834;NLD199802182;PEAT;SCH-24;TRUE;active;fleet register;NA;
PRT000020181;263500170;AFRODITE;26.85;25-40 m;PRT;Purse seiner;9116474;PRT000020181;CURM3;PTPEN-113891-C;TRUE;active;fleet register;NA;
ESP000022209;224105580;AGARIMO DOUS;25;25-40 m;ESP;Purse seiner;2806070;ESP000022209;EA2933;3FE-1-1916;TRUE;active;fleet register;NA;
DNK000007846;219765000;AGGERSØE;35.4;25-40 m;DNK;Bottom trawler;8509739;DNK000007846;OWFH;RI372;TRUE;active;fleet register;NA;
ESP000024432;224933000;AGIOS NIKOLAUS;28;25-40 m;ESP;Other;8960517;ESP000024432;EA4214;3VI-5-12-99;TRUE;active;fleet register;NA;
FRA000724656;227338000;AGORRETA;26.7;25-40 m;FRA;Other;8874457;FRA000724656;FGOO;LR724656;TRUE;active;fleet register;NA;
PRT000021038;204201360;AGRIAO;29.46;25-40 m;PRT;Other;9205029;PRT000021038;CUTZ5;PTPDL-113924-C;TRUE;active;fleet register;NA;
